         8152944 function calls in 2.642 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      450    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.interp}
       20    0.000    0.000    0.000    0.000 _methods.py:118(_mean)
       30    0.000    0.000    0.000    0.000 numeric.py:1448(moveaxis)
      150    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
     2560    0.000    0.000    0.000    0.000 fromnumeric.py:2333(_sum_dispatcher)
       20    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:367(broadcast_to)
      150    0.000    0.000    0.000    0.000 _methods.py:99(_clip)
       20    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:340(_broadcast_to)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       10    0.000    0.000    0.000    0.000 mpc.py:92(objective_contract)
      650    0.000    0.000    0.000    0.000 estimator_v2.py:772(q_min_rad)
      450    0.000    0.000    0.000    0.000 _type_check_impl.py:270(iscomplexobj)
       60    0.000    0.000    0.000    0.000 numeric.py:1386(normalize_axis_tuple)
       10    0.000    0.000    0.000    0.000 <string>:2(__init__)
       30    0.000    0.000    0.000    0.000 fromnumeric.py:2477(any)
       40    0.000    0.000    0.000    0.000 _methods.py:76(_count_reduce_items)
       10    0.000    0.000    0.000    0.000 surface_loads.py:237(__post_init__)
      650    0.000    0.000    0.000    0.000 estimator_v2.py:776(q_max_rad)
      640    0.000    0.000    0.000    0.000 fromnumeric.py:3185(_min_dispatcher)
       20    0.000    0.000    0.000    0.000 mpc.py:935(<listcomp>)
      660    0.000    0.000    0.000    0.000 shape_base.py:76(_atleast_2d_dispatcher)
        9    0.000    0.000    0.000    0.000 fromnumeric.py:1447(searchsorted)
      450    0.000    0.000    0.000    0.000 _function_base_impl.py:1501(_interp_dispatcher)
      632    0.000    0.000    0.000    0.000 mpc.py:951(<lambda>)
      450    0.000    0.000    0.000    0.000 _type_check_impl.py:171(_is_type_dispatcher)
        9    0.000    0.000    0.000    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
       60    0.000    0.000    0.000    0.000 numeric.py:1435(<listcomp>)
      130    0.000    0.000    0.000    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
      150    0.000    0.000    0.000    0.000 {method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects}
      150    0.000    0.000    0.000    0.000 {method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects}
      150    0.000    0.000    0.000    0.000 fromnumeric.py:2236(_clip_dispatcher)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      160    0.000    0.000    0.000    0.000 mpc.py:1014(<genexpr>)
       30    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
       20    0.000    0.000    0.000    0.000 _function_base_impl.py:339(iterable)
       20    0.000    0.000    0.000    0.000 mpc.py:641(_can_use_batched_population)
       10    0.000    0.000    0.000    0.000 mpc.py:340(<listcomp>)
       60    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:345(<genexpr>)
