solver,filter,condition,target_reached,final_theta_deg,T_reach,max_abs_F_rad,max_abs_delta_r,max_abs_omega,max_abs_alpha_step,max_abs_F_tan,feasible_mpc_decisions,total_mpc_decisions,feasible_mpc_decision_ratio,mean_feasible_count,omega_violation_count,alpha_violation_count,max_omega_violation_severity,max_alpha_violation_severity,rms_raw_theta,rms_raw_omega,rms_raw_r,rms_raw_r_dot,rms_filt_theta,rms_filt_omega,rms_filt_r,rms_filt_r_dot,rms_reduction_theta,rms_reduction_omega,rms_reduction_r,rms_reduction_r_dot,rms_reduction_ratio_theta,rms_reduction_ratio_omega,rms_reduction_ratio_r,rms_reduction_ratio_r_dot,done_reason,runtime_s
cem,oracle,noise_bias,True,90.07009804455394,2.0400000000000005,0.8111186805543643,0.011669650259969355,1.596524798242823,11.071127403206015,8.066946866492385,0,68,0.0,0.0,16,76,0.39652479824282305,8.071127403206015,0.01054037919782514,0.035963052786352076,0.0016775167412704192,0.004633122568058117,0.0,0.0,0.0,0.0,0.01054037919782514,0.035963052786352076,0.0016775167412704192,0.004633122568058117,1.0,1.0,1.0,1.0,target_reached,31.018303958000615
cem_feasibility_first,raw,clean,False,89.58037381647786,nan,0.7805169958601217,0.01167823785565475,1.6216250531951866,12.544279255803081,8.639502551479548,148,267,0.5543071161048689,0.5543071161048689,21,100,0.4216250531951866,9.544279255803081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,max_time,120.79773291596211
cem_feasibility_first,raw,noise,True,90.1962785279513,1.370000000000001,0.8726509830526142,0.011112076730828424,3.391608582722393,58.480748913151956,11.085969145544896,0,46,0.0,0.0,54,95,2.1916085827223935,55.480748913151956,0.004204262585533802,0.035554260415773004,0.0008476142208850463,0.003772137309421396,0.004204262585533802,0.035554260415773004,0.0008476142208850463,0.003772137309421396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,target_reached,20.831382959033363
cem_feasibility_first,raw,noise_bias,True,90.3651980029418,3.45999999999997,0.7158490352647551,0.01191851495663393,1.833952680394364,53.213710777834265,8.696024940656903,18,116,0.15517241379310345,0.15517241379310345,66,110,0.633952680394364,50.213710777834265,0.010614652229277087,0.0368065133786823,0.0017070713105931815,0.004569523455818319,0.010614652229277087,0.0368065133786823,0.0017070713105931815,0.004569523455818319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,target_reached,53.625219834037125
cem_feasibility_first,low_pass,clean,True,90.29278920698542,1.8000000000000014,0.7907958900270663,0.011692334122552606,1.8413093939169543,12.446690765789015,8.629156780148891,0,60,0.0,0.0,26,105,0.6413093939169543,9.446690765789015,0.0,0.0,0.0,0.0,0.016422775708071557,0.06404003609457523,0.00015754195615022082,0.002223099385164134,-0.016422775708071557,-0.06404003609457523,-0.00015754195615022082,-0.002223099385164134,nan,nan,nan,nan,target_reached,27.524465332971886
cem_feasibility_first,low_pass,noise,True,90.17508850681529,2.669999999999987,0.9971574331053892,0.01173531655851523,1.8666764951854768,51.005121406466635,8.61701354742161,30,89,0.33707865168539325,0.33707865168539325,38,99,0.6666764951854769,48.005121406466635,0.0038825089349920593,0.03420429851730749,0.0008572290588295601,0.003921190315059344,0.014176579835265912,0.07539740022463047,0.0004482780286409442,0.002432604654871098,-0.010294070900273853,-0.04119310170732298,0.0004089510301886159,0.0014885856601882458,-2.6513965769649688,-1.2043252893047678,0.47706155779061876,0.37962596573579405,target_reached,40.821106582996435
cem_feasibility_first,low_pass,noise_bias,False,87.70853562390401,nan,0.6934539368143342,0.01193320152295807,1.8226705871375948,28.77266504401541,8.61897610923413,113,267,0.4232209737827715,0.4232209737827715,22,141,0.6226705871375948,25.77266504401541,0.010789272306931162,0.03880142536204565,0.0016851007811867955,0.004452720955175783,0.009692665778087368,0.04864177143265845,0.0015662628550367564,0.003201672211563185,0.0010966065288437934,-0.0098403460706128,0.00011883792615003915,0.0012510487436125984,0.1016385996801026,-0.25360785019609927,0.07052274111839357,0.28096275428137846,max_time,124.41685779101681
cem_feasibility_first,alpha_beta,clean,True,90.00659743060034,2.53999999999999,0.7818902269760785,0.01173972257899275,2.2248411546606857,15.653404059476433,9.065601425394675,6,85,0.07058823529411765,0.07058823529411765,47,90,1.0248411546606857,12.653404059476433,0.0,0.0,0.0,0.0,0.001680458583356407,0.19496093005783952,3.139427273207428e-05,0.004032448985583176,-0.001680458583356407,-0.19496093005783952,-3.139427273207428e-05,-0.004032448985583176,nan,nan,nan,nan,target_reached,39.78545866708737
cem_feasibility_first,alpha_beta,noise,True,90.1748809785343,2.5999999999999885,0.879424026743534,0.012019428004128696,2.198001126911264,17.12593756551317,9.255912674149446,18,87,0.20689655172413793,0.20689655172413793,45,94,0.9980011269112639,14.12593756551317,0.003887561551810751,0.03405275219963193,0.0008586587900371797,0.0039402846652447955,0.0029752451773706183,0.20250265192331282,0.0006037526700553784,0.010364605086055818,0.0009123163744401328,-0.1684498997236809,0.00025490611998180124,-0.006424320420811022,0.23467573754946555,-4.946733783400381,0.29686544054450764,-1.630420379897071,target_reached,40.83874245896004
cem_feasibility_first,alpha_beta,noise_bias,False,88.8736899640728,nan,0.7837623239740296,0.012049952688431731,1.936104124559923,36.0503436095954,8.730178074538728,114,267,0.42696629213483145,0.4307116104868914,54,178,0.7361041245599231,33.0503436095954,0.010789272306931162,0.03880142536204565,0.0016851007811867955,0.004452720955175783,0.010459895993342242,0.13792208566961384,0.0015769900746588515,0.00809329170031303,0.00032937631358891974,-0.09912066030756819,0.00010811070652794403,-0.003640570745137247,0.030528130555878576,-2.5545623487462126,0.06415681942287334,-0.8176058598294816,max_time,124.80012245906983
cem_feasibility_first,oracle,clean,False,89.58037381647786,nan,0.7805169958601217,0.01167823785565475,1.6216250531951866,12.544279255803081,8.639502551479548,148,267,0.5543071161048689,0.5543071161048689,21,100,0.4216250531951866,9.544279255803081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,max_time,123.7028607079992
cem_feasibility_first,oracle,noise,False,89.58037381647786,nan,0.7805169958601217,0.01167823785565475,1.6216250531951866,12.544279255803081,8.639502551479548,148,267,0.5543071161048689,0.5543071161048689,21,100,0.4216250531951866,9.544279255803081,0.0037865825316255913,0.03492439381243314,0.0008477429548271578,0.004090023556542077,0.0,0.0,0.0,0.0,0.0037865825316255913,0.03492439381243314,0.0008477429548271578,0.004090023556542077,1.0,1.0,1.0,1.0,max_time,122.45454366598278
cem_feasibility_first,oracle,noise_bias,False,89.58037381647786,nan,0.7805169958601217,0.01167823785565475,1.6216250531951866,12.544279255803081,8.639502551479548,148,267,0.5543071161048689,0.5543071161048689,21,100,0.4216250531951866,9.544279255803081,0.010789272306931162,0.03880142536204565,0.0016851007811867957,0.004452720955175783,0.0,0.0,0.0,0.0,0.010789272306931162,0.03880142536204565,0.0016851007811867957,0.004452720955175783,1.0,1.0,1.0,1.0,max_time,122.77960233401973
