setting,factor,scale,condition,target_reached,final_theta_deg,T_reach,done_reason,rmse_theta,rmse_omega,rmse_r,rmse_r_dot,bias_theta_mean,bias_theta_std,bias_theta_final,bias_omega_mean,bias_omega_std,bias_omega_final,bias_r_mean,bias_r_std,bias_r_final,bias_r_dot_mean,bias_r_dot_std,bias_r_dot_final,m_mean,m_std,m_final,k_mean,k_std,k_final,b_r_mean,b_r_std,b_r_final,alpha_violation_count,alpha_mean_severity,alpha_p95_severity,alpha_max_severity,omega_violation_count,omega_mean_severity,omega_p95_severity,omega_max_severity,mean_action_magnitude,max_action_magnitude,action_smoothness,mean_innovation_norm,max_covariance_trace,ukf_failure_count,runtime_s
R_0.3,R,0.3,noise,True,90.1102389266041,2.9399999999999813,target_reached,0.01080036954533749,0.02948094368390278,0.004843993777257311,0.008009655881209709,0.007983715162992872,0.007104352480566809,0.0037647483854489545,-0.011151405198626306,0.0036528583316331195,-0.007177620948709939,0.004156433642057498,0.0018714130773808536,0.006120376080949375,0.006338830628546645,0.0025326684854863565,0.006386786847734037,1.1681609719063577,0.06182027719087917,0.9297794026137883,265.0495221023275,25.08245043552546,198.74835061871116,27.388652317476343,6.795521977862251,37.521082650368484,83,0.9269432495574862,5.033241675801797,19.14478487226812,19,0.01923310460836809,0.15254153809466217,0.4577786311955039,3.2865012248434335,8.26193878939255,0.17141732015569422,0.039895808401785755,0.0732,0,50.043868374999875
R_0.3,R,0.3,noise_bias,True,90.06178314920916,2.1699999999999977,target_reached,0.008632786860240427,0.027802391810929084,0.003212007618558347,0.005380640294731463,0.016280526345007207,0.005273825659566653,0.012689530188391576,-0.015868059574806418,0.0027762990263359945,-0.016008036638411993,0.004188884689417663,0.001418541077440956,0.005759561646521175,0.005577877968993837,0.0020016354215979196,0.006204561246332267,1.180974182520753,0.05079415757789031,1.1976652165980495,303.4045702320149,17.008702140232096,312.49010173157257,24.44188946796269,6.122418789902997,33.280581411350404,86,1.079074132368706,5.119547377427697,7.386649935800039,20,0.023232009656083866,0.2206061016911943,0.4649064012567061,4.000511525364445,8.089031543633968,0.20611500596002763,0.03946959745053468,0.0732,0,37.17849979099992
R_3,R,3.0,clean,True,90.14516614883902,2.06,target_reached,0.014201253928035123,0.009392037458140124,0.0024609958683711837,0.0006551142244230107,0.012100977972356184,0.007433140581550584,0.004762075438683078,-0.00897883437496828,0.0027547598245106185,-0.005812007509251851,0.0022783734044171462,0.0009294815081005156,0.0031595448892412863,0.0006247475115353024,0.00019612556658421329,0.0005307993880890933,1.1737985601940732,0.05095660033934368,1.1728059741683832,332.1676209749049,19.81706854431903,342.1081853733171,10.286932943134158,0.7291918128992314,10.270034817489952,84,0.9707886399472212,5.190340684557057,6.437838056074977,17,0.021310915240183418,0.20954776816416892,0.4264885364621531,3.947706276831095,7.953694144478646,0.20497496243184765,0.007252660157045591,0.0732,0,34.953455125000346
R_3,R,3.0,noise,True,90.0134846850234,2.020000000000001,target_reached,0.011406204744614587,0.03680277891286536,0.00426722903394094,0.004833032249020749,0.008913329973094967,0.007850442609283961,0.0019132464404060052,-0.012287764251836253,0.003694437670026207,-0.008666713713327995,0.0028782119334806486,0.0016165343258414421,0.005212520735514578,0.0022945582151196542,0.0013332283414038957,0.0028570881541614907,1.1796825033065517,0.052948958307365006,1.1677558515009143,287.45758427946663,17.455654590749916,282.04857149472616,18.700345821707586,2.5313445868344178,21.670452889437332,89,1.0561933360732891,4.950375706977831,7.802935738606999,20,0.027906532004044936,0.29188240537635785,0.457955814799484,4.026680594250443,8.40764208254814,0.22229928272809582,0.042947804239576934,0.0732,0,34.40600845900008
R_3,R,3.0,noise_bias,True,90.00937117538525,2.1899999999999973,target_reached,0.00703709555205739,0.03075657270641373,0.0036409067560008576,0.003874338477098063,0.014724478008356384,0.0050819208979231015,0.011751293117990022,-0.016876706401579223,0.002859435052491513,-0.016306953493803268,0.004095812550791714,0.0014606822936304362,0.005976195085549138,0.0035268334998423425,0.001226413561215058,0.004175715517508771,1.1801589559097345,0.05134482165523049,1.1958789528489775,306.2363672470269,12.915531347877863,310.0062177630262,18.729040012577318,2.6688952200786025,21.974629261788788,85,1.036714037803185,5.294738250196156,7.29344735922102,23,0.02403773650811024,0.2161355569908948,0.45761893165640455,3.894527770639478,8.310321629532888,0.20876362103097784,0.04077556385829286,0.0732,0,36.99795295900003
biasQ_0.1,bias_process_noise,0.1,clean,True,90.21224657268387,1.9700000000000015,target_reached,0.015499504553328611,0.009995017167184228,0.001986444963569829,0.0003035604719967208,0.013295431052817544,0.0079668098741036,0.005219792989484179,-0.009632992613389861,0.002665526711172339,-0.006407150684499763,0.001847839033315555,0.0007288449200496098,0.0025532731920454195,0.00011518504008557325,0.00028069566612013395,-0.00011681008132631478,1.1725222990525612,0.051912123156456956,1.1704565884293279,341.83618651808723,24.997533604639997,357.1974968194297,10.303593429174727,0.8108860808475403,10.14224692078245,85,0.9723930889766162,5.148243911641823,6.347693283118685,17,0.02251459597594082,0.2190285917896777,0.43019738571029587,4.019402288855114,7.9538500305602975,0.21190251830500528,0.007789530051630062,0.0732,0,34.331023665999965
biasQ_0.1,bias_process_noise,0.1,noise,True,90.39304881950987,3.0199999999999796,target_reached,0.010338435685351132,0.03201759211562968,0.004526604705390267,0.007173291698313886,0.006348729091911409,0.008249348219685423,0.004086556874772641,-0.011050273794016999,0.003596456239085675,-0.009266621179378199,0.003588266866670141,0.0016714839173312397,0.004894841760851112,0.005054145295715291,0.002171398651123928,0.007870890952315837,1.1271865328511554,0.12171787171067498,0.7516117243793551,266.4124729953835,36.998904898295834,159.85075123730792,22.375631955895834,4.010121691168851,28.35334650879866,71,0.9559046532215129,3.775330512686365,58.86086634534198,17,0.01481504036485159,0.029478894083326396,0.44350230075256647,2.9368579070072562,9.476898445195204,0.15739286106187744,0.040551897104073316,0.0732,0,51.53648437499987
biasQ_0.1,bias_process_noise,0.1,noise_bias,True,90.00446633022247,2.619999999999988,target_reached,0.006707880941119188,0.025013998701320612,0.003394659943397954,0.005482830634770969,0.014017474673642834,0.004973268546600233,0.010814616416802411,-0.016420532948426228,0.0024973340503476917,-0.01657954007699441,0.0041523792870737,0.001309784259924426,0.005705589872148888,0.005556242763504472,0.0019386398957496839,0.006163359378855481,1.1859703600856488,0.04804467058492366,1.1713763927646381,308.23603714708014,16.34917151734021,308.7052190737926,21.911386000805667,4.230294329389663,27.70910954369602,79,0.8344407624673704,4.367651990602999,7.790233740605279,22,0.01911316695687739,0.1867491757868404,0.4498861339199056,3.4409490676632517,8.232817407357581,0.17104522414755308,0.03674884645799129,0.0732,0,44.72239612500016
biasQ_10,bias_process_noise,10.0,clean,False,89.74279666486979,nan,max_time,0.006452109497079495,0.0058985799970169795,0.004039710028830892,0.0008234403639094917,0.002629507521121858,0.005892043593526212,-0.00010619924030357645,-0.004708166950474361,0.0035533368135916743,-0.0009856551641391586,0.003945782540749372,0.00086575309673893,0.004277505561114269,0.0006587378441903677,0.0004940529183404363,0.00014248808341629874,1.1864530452975197,0.027425954937676234,1.1992554043718433,320.9473391122582,7.7859118543727455,325.42931316446857,10.662510978345427,0.3418531532095113,10.766242021350138,74,0.22590777381212238,1.6825295043692001,8.836341442482489,17,0.0054307284982317025,0.0,0.4193819834248216,1.652685361612705,7.951294749384924,0.0479965321899825,0.0018643613525784295,0.0732,0,135.30231945900005
biasQ_10,bias_process_noise,10.0,noise,True,90.15021650531187,2.9399999999999813,target_reached,0.009786377508180184,0.028311989942146128,0.006231440522748727,0.004423553455145732,0.00599057825137314,0.007836093359315857,0.006879947885770423,-0.011765569315262007,0.003753097789906829,-0.006074877434794391,0.005436544748100674,0.002454978642645456,0.007617522995866965,0.0027749759297148735,0.0012111751330217242,0.0029885926270536876,1.1348956414221043,0.11366776978400585,0.7828975031968002,251.1292530713939,35.21692022968634,153.38452818001466,23.70568465442196,4.821628310546712,29.99585076990917,67,0.6987019391229832,4.149624211596446,14.604975804949145,16,0.015020756690877955,0.04571642757142849,0.441120974097706,2.945842476588389,7.838521594229188,0.1365405088333961,0.03891202838073441,0.0732,0,49.90042812499996
biasQ_10,bias_process_noise,10.0,noise_bias,True,90.06002446258556,2.020000000000001,target_reached,0.007166606007552465,0.0254890413290475,0.004248663303373127,0.0037805027646980447,0.01477080806642595,0.004922913167930901,0.010889838100711013,-0.01715263802212748,0.0029822420054773546,-0.017476544336018834,0.005067184900979487,0.0019922073549648862,0.0071104401875607,0.0038610657282180305,0.0012572455705588204,0.004303356901564713,1.1799402704121669,0.05272162135369627,1.1904919980668562,291.52397618054897,16.288986219009804,289.3061264896686,21.26562786161875,4.411791629908439,27.494739258637676,76,1.1595267848680433,5.221038042703444,8.192049800969695,21,0.02451216326785177,0.21874143994572873,0.4476524803331454,3.9707442004772675,8.23101620465468,0.22417605505174645,0.038648722923398465,0.0732,0,34.43370874999982
P0_0.3,P0,0.3,clean,False,89.94182733345217,nan,max_time,0.002925935543847445,0.0035734477069852143,0.0029588932237327,0.00020318071786372353,0.0018622144361367143,0.0022568804329762327,0.0002224519145183975,-0.0033402683903579334,0.0012696602255198326,-0.0017888930523173585,0.002908035488870593,0.0005460857410817271,0.003108332350154231,0.00018718450907238452,7.893967308480867e-05,9.491606474948673e-05,1.123236143809665,0.04926081048461214,1.079513812909957,324.5855891788962,14.698446732339306,312.24516410656724,10.592586870697614,0.3690746325555402,10.679092884440879,56,0.21321181941319242,1.8295657668684828,7.624482093298004,16,0.0052038748542537535,0.0,0.41239452576554925,1.6182808951049754,8.040598268936344,0.04647054129601698,0.0019474985359307633,0.02196,0,135.54476641600013
P0_0.3,P0,0.3,noise,True,90.17872524744179,3.4499999999999704,target_reached,0.0037745702741050617,0.028172767089644713,0.004847636480575377,0.004078730535123121,0.0023599907787975167,0.00257744470624991,0.005155336978822367,-0.006876318349651393,0.0011301476504609188,-0.006302861277878041,0.004230651670910897,0.0016874517308529918,0.005521165809783735,0.0020787314919196633,0.0007970942619339222,0.003648955156579436,1.1543949197812375,0.08985605513229962,0.8308538135715134,277.12911802107993,27.474006629993294,184.7908330200953,24.722642314225354,5.4607891411486245,33.147403354497264,84,0.9360092140352659,4.666592833928991,42.09138500063727,20,0.014501877391103294,0.07710344732805113,0.40625698618332207,2.9775187910083654,8.313257157289323,0.14861963471211684,0.0404678655241434,0.02196,0,58.46956812500002
P0_0.3,P0,0.3,noise_bias,True,90.00145524561408,2.149999999999998,target_reached,0.003243587225995271,0.025278161757526913,0.0032313734019028084,0.003225045000225021,0.007575748432779432,0.0016196946800443165,0.008995261735033431,-0.008691270829684399,0.0015993243777440108,-0.009916286294798606,0.004145320967023346,0.0012883718047255839,0.005535505279853191,0.002086568462088054,0.0008827678180173014,0.0028777479322251113,1.1888886536640144,0.05307155323371925,1.2163064261267187,317.89303592531036,14.189982143945283,330.9533425831038,21.50353218469336,4.532292450421325,27.94503798296379,92,0.9618897843965427,4.992971098955304,7.574476497749652,23,0.02208240068217268,0.19098826855305828,0.4301854644833538,3.923378364628125,8.114610980423912,0.20241379317390532,0.038820465365971536,0.02196,0,36.41990195800008
P0_3,P0,3.0,clean,True,90.05861181474877,1.9300000000000015,target_reached,0.02790994906365466,0.016455861905351355,0.002519494816783187,0.0012856564696870354,0.022226998440682263,0.016880076761704093,0.007112588090957567,-0.014915379019784895,0.00695162351620015,-0.00775813998158528,0.0022413776104314082,0.0011503368765281847,0.003323447119977461,0.0011599727914401734,0.0005541052749153344,0.0007813160384222412,1.1651747486813036,0.05134474445664556,1.155339252850813,323.91062051111345,22.525428574155384,332.59898401574293,10.223213245949927,0.8188654060854262,10.047053594199745,82,1.0883645687420953,6.217383781443559,8.13891588270961,28,0.04038212670628174,0.4111309503744636,0.5391348034457306,3.9268756842588712,8.23042966649995,0.21603940276633074,0.008306965560812729,0.21960000000000002,0,32.60827495800004
P0_3,P0,3.0,noise,True,90.00028436148585,2.899999999999982,target_reached,0.019859787457311283,0.03150412000685073,0.005407268565722638,0.008011783830342893,0.012542006652468702,0.015829966954621043,0.0015625326073427205,-0.016201150852124296,0.009280804644191395,-0.009523069798145623,0.004358404372915475,0.002280233778832639,0.006598506115324808,0.005939970125263726,0.0028730131774299863,0.00455085704787339,1.1165109496040626,0.1273571302136934,0.7547486396359732,250.92920685488582,39.11144971128812,150.00000000000438,21.394939093130258,3.756464866088685,26.970243296017678,74,0.6662358755937009,4.821799045809501,7.155625980960004,25,0.023523026553249924,0.2060938518006813,0.519990801221025,2.8777687082892296,8.260709445831363,0.1388000254996389,0.03814572582945127,0.21960000000000002,0,49.0459741249997
P0_3,P0,3.0,noise_bias,True,90.04044071771396,2.249999999999996,target_reached,0.020770125240149515,0.029404886573370974,0.004349254070602033,0.007694757712902248,0.025445680315523786,0.014051694167597151,0.014007612497450828,-0.02566472896455997,0.007383028385007423,-0.020840982264058117,0.004777445966804277,0.002113752103189933,0.007347217875721263,0.008037820182174873,0.002558137241909041,0.00771153283099066,1.1716383106014008,0.048398039168039406,1.1821402285341331,276.1537479803201,20.822585230226917,279.40291303655926,20.072386635792526,3.358325044556766,25.02034297691394,92,1.1816258878229615,5.733664820822595,7.534144171183323,26,0.02989408288002822,0.2895385829544762,0.5354176326079574,3.8240607699321973,8.19533628392725,0.21232755114839558,0.03823439317952251,0.21960000000000002,0,37.61833766699965
