method,family,condition,target_reached,final_theta_deg,T_reach,done_reason,alpha_violation_count,alpha_mean_severity,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,alpha_clipped_max_excluding_top1,alpha_violation_duration_s,alpha_integrated_violation,early_alpha_mean_severity,early_alpha_p95_severity,early_alpha_p99_severity,early_alpha_max_severity,late_alpha_mean_severity,late_alpha_p95_severity,late_alpha_p99_severity,late_alpha_max_severity,omega_violation_count,omega_mean_severity,omega_p95_severity,omega_max_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,F_tan_violation_count,F_rad_violation_count,force_violation_count,mean_action_magnitude,max_action_magnitude,action_smoothness,action_total_variation,cem_runtime_s,action_parameterization_mode,num_action_knots,move_block_size,lowpass_beta,solver_safety_mode,alpha_soft_weight,notes
du_knots_6,du_knots,noise_bias,False,-24.961732602987976,nan,max_time,617,6.236933774605317,19.985574654992742,25.03903839001427,32.25062579236866,31.75778987822865,6.17,50.02020887233464,6.012126065338774,16.458745456436837,19.384144816022733,19.568202280522538,6.251881095700169,20.31286961564239,25.06679517166206,32.25062579236866,174,0.07164164244704366,0.49029750912345355,1.1132414835922655,0,0.0,0.0,0,0,0,5.967958355544216,10.763942357200575,0.5956370513775435,477.10527815341237,80.44048549999934,du_knots,6,1,0.5,off,1.0,"sample 6 delta-action knots, interpolate deltas, integrate and clip actions"
move_blocking_2,move_blocking,clean,True,90.08278700233798,3.3099999999999734,target_reached,105,0.6582052459942556,4.17385699008259,6.292424997634782,7.363216527047392,7.189614105882939,1.05,2.1852414167009284,2.0200246571005023,6.724412965041997,7.27815134067681,7.363216527047392,0.41674790359953084,2.8726417394094805,4.631515145436676,5.628167586969937,24,0.012419727231093105,0.07279242464807861,0.3168938819378726,0,0.0,0.0,0,0,0,3.792244706242397,8.278940047238926,0.1597866903449497,52.88939450417835,57.09044841600007,move_blocking,0,2,0.5,off,1.0,share one action over blocks of 2 horizon steps
move_blocking_2,move_blocking,noise,True,90.12858542263527,3.4099999999999713,target_reached,102,0.6763835961158814,4.371474737774372,7.34572464969692,8.206045201446434,7.68914255412332,1.02,2.3132318987163143,2.40794898709978,7.245495663591679,7.500134090847288,7.604007011645358,0.3798826730022,2.293736134397597,5.215365847026578,8.206045201446434,30,0.02341116058492086,0.257027622514615,0.4026786528639885,0,0.0,0.0,0,0,0,3.6292367339284137,8.266637736359053,0.16575744733765255,56.523289542139516,59.07314774999941,move_blocking,0,2,0.5,off,1.0,share one action over blocks of 2 horizon steps
move_blocking_2,move_blocking,noise_bias,False,87.25332351727327,nan,max_time,119,0.382810359607661,3.0834094913272048,7.819011386770488,15.137706103865384,14.91912279769998,1.19,3.0701390840534413,2.3193190989651864,7.576883613341337,8.250874351452119,8.370844687918419,0.25405312959718723,1.0305451181812004,6.00102140277895,15.137706103865384,23,0.007518599559326501,0.0,0.396586041553076,0,0.0,0.0,0,0,0,2.1619264118614105,8.34279295274371,0.07825083147817595,62.67891601401894,138.21545616599906,move_blocking,0,2,0.5,off,1.0,share one action over blocks of 2 horizon steps
move_blocking_3,move_blocking,clean,False,87.99344109432842,nan,max_time,123,0.3573637202535918,2.635443005755008,5.921086030778786,9.162538285566038,8.95803309965865,1.23,2.8660570364338067,2.5240362682313595,8.592046232215557,9.062330744471417,9.162538285566038,0.21330304552102747,1.6265574863596293,4.789063712156699,6.376261137008973,24,0.0032395883134594627,0.0,0.2003632019299959,0,0.0,0.0,0,0,0,2.5408667472603392,8.182264746689775,0.09773771981376206,78.2879135708234,137.22125558300104,move_blocking,0,3,0.5,off,1.0,share one action over blocks of 3 horizon steps
move_blocking_3,move_blocking,noise,True,90.2202938153876,5.449999999999928,target_reached,121,0.733885087951341,4.509874212196102,8.245307596390903,31.75420389046029,31.232270033297375,1.21,4.0070125802143215,2.0608130587381517,8.24530759639091,8.476159926359582,8.500479223327586,0.6001221876704125,3.9392150285695697,7.733561999635456,31.75420389046029,36,0.003701878715872861,0.026626423634499075,0.12184369234005321,0,0.0,0.0,0,0,0,3.181119674716232,7.791805387487801,0.1539729055127433,83.91523350444511,92.98533337499975,move_blocking,0,3,0.5,off,1.0,share one action over blocks of 3 horizon steps
move_blocking_3,move_blocking,noise_bias,True,90.04263542655472,4.019999999999959,target_reached,132,0.8470626029407833,4.290716302467229,7.9911730988996705,10.571160909201163,10.230150555083764,1.32,3.4136622898513567,2.401686152411678,7.850804861035432,8.157021508536147,8.314873893331855,0.6268609670383901,3.432678145680941,7.267294069340563,10.571160909201163,49,0.019330480281334335,0.1351637892388363,0.34165273955772846,0,0.0,0.0,0,0,0,4.197803462947069,8.155987542826283,0.18642775632053754,74.94395804085609,68.0211788329998,move_blocking,0,3,0.5,off,1.0,share one action over blocks of 3 horizon steps
lowpass_perturb,lowpass_perturb,clean,False,48.40489411785703,nan,max_time,525,3.5506744800365206,13.033987439459004,19.890489632724556,25.166759837133608,24.693173006006,5.25,28.476409329892896,2.6864082414071873,10.541809737653223,11.796129216727252,11.918814567433092,3.6081389905836834,13.61400545666801,19.962455686470665,25.166759837133608,69,0.012021474346362226,0.12446236970329497,0.30400673848350923,0,0.0,0.0,0,0,0,5.178725270027274,9.415890221172159,0.4866358648946103,389.79532778058285,119.2226295420005,lowpass_perturb,0,1,0.65,off,1.0,low-pass filter CEM perturbations before rollout
lowpass_perturb,lowpass_perturb,noise,False,-23.57157032895576,nan,max_time,539,2.92206489756787,9.994990104452206,18.862517516297043,22.622092636704085,22.056888052973452,5.39,23.434960478494318,2.90306873154365,9.969406036133115,11.34479680189332,11.468019171907908,2.9233279405216077,9.99051242852088,19.013102402458728,22.622092636704085,25,0.007804137206676376,0.0,0.49286702141740757,0,0.0,0.0,0,0,0,5.515305872473167,9.220271205893832,0.42317651261553324,338.96438660504214,125.77759866700035,lowpass_perturb,0,1,0.65,off,1.0,low-pass filter CEM perturbations before rollout
lowpass_perturb,lowpass_perturb,noise_bias,True,90.00940005800751,7.4099999999998865,target_reached,511,3.182750358342683,12.452816671897105,16.655795024613706,23.28058332677044,22.78883444333234,5.11,23.61600765890271,3.3369349597405726,10.695610072357333,11.35630340436815,11.475665742717492,3.171609852461333,12.896728891527644,16.888593275818373,23.28058332677044,121,0.06459267148814397,0.6027050255530737,0.7878213497189135,0,0.0,0.0,0,0,0,5.130908058861062,9.472142842839277,0.4366664328105982,323.56982671265325,113.92503229199974,lowpass_perturb,0,1,0.65,off,1.0,low-pass filter CEM perturbations before rollout
