phase,method,condition,seed,target_crossed,target_reached,actual_crossing_time,T_reach,final_theta_deg,final_theta_error_signed_deg,planner_success,planner_status,planner_solve_time_s,planner_iterations,planned_alpha_peak,planned_crossing_time,planner_terminal_crossing_margin_deg,planner_F_tan_margin,planner_F_rad_margin,planner_delta_r_margin,planner_omega_margin,tracker_solver_success_count,tracker_solver_failure_count,tracker_solver_failure_rate,fallback_count,fallback_rate,tracker_solve_time_mean,tracker_solve_time_max,tracking_error_mean,tracking_error_max,alpha_abs_mean,alpha_abs_p95,alpha_abs_p99,alpha_abs_max,alpha_p95_severity,alpha_p99_severity,alpha_max_severity,alpha_violation_duration_s,alpha_integrated_violation,alpha_clipped_max,raw_omega_p95,raw_omega_max,delta_r_violation_count,delta_r_violation_max,force_violation_count,force_violation_max,action_magnitude_mean,action_magnitude_max,action_total_variation,runtime_s
phase2_regression,baseline_cem,clean,102,True,True,2.479999999999991,2.479999999999991,90.16723175363886,0.1672317539194142,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.462938660228841,12.951530044400508,14.783525511415409,1.18,2.976168254157045,14.690130875375733,nan,nan,0,nan,0,nan,nan,nan,0.225597181236254,41.8966082919942
phase2_regression,nmpc_base,clean,102,True,True,2.099999999999999,2.099999999999999,90.05607966231653,0.05607966259708274,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,70,0,0.0,0,0.0,0.06532606902848263,0.14107274998968933,nan,nan,nan,nan,nan,nan,2.8997158679894297,3.201436209503789,3.3080968449449273,0.29,0.3936831917989113,3.2324607278166475,nan,nan,0,nan,0,nan,nan,nan,0.07139755730052312,8.721865208004601
phase2_regression,nmpc_crossing_weighted,clean,102,True,True,1.270000000000001,1.270000000000001,90.15076207284329,0.15076207312384124,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,43,0,0.0,0,0.0,0.03652942730323682,0.07690658299543429,nan,nan,nan,nan,nan,nan,2.3237455422385604,21.994095846750934,22.955371111955643,0.1,0.958326633759418,22.157514332027926,nan,nan,0,nan,0,nan,nan,nan,0.191685009365899,2.70332933300233
phase2_regression,oracle_planner_nmpc_tracker,clean,102,True,True,1.7200000000000013,1.7200000000000013,90.04586730869896,0.045867308979516686,True,Solve_Succeeded,0.056097583001246676,13,2.941564423690245,1.7999999999999998,0.477862262410852,27.89111292840151,0.6069202842606982,0.046928487726560775,0.02595656692330972,172,0,0.0,0,0.0,0.018080140234053754,0.046971083007520065,0.03322408960712058,0.0869990016718955,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,0.0,0.004908724643931619,0.1789462217011697,0.02,0.0019647738114378253,0.017531159442612854,1.1742037787842825,1.177777689434928,0,0.0,0,0.0,4.123749979232533,7.146296487205803,14.63701050319243,1.772145167007693
phase2_regression,oracle_planner_nmpc_tracker_with_cem_fallback,clean,102,True,True,1.7200000000000013,1.7200000000000013,90.04586730869896,0.045867308979516686,True,Solve_Succeeded,0.05929633299820125,13,2.941564423690245,1.7999999999999998,0.477862262410852,27.89111292840151,0.6069202842606982,0.046928487726560775,0.02595656692330972,172,0,0.0,0,0.0,0.018892102499426813,0.06805637500656303,0.03322408960712058,0.0869990016718955,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,0.0,0.004908724643931619,0.1789462217011697,0.02,0.0019647738114378253,0.017531159442612854,1.1742037787842825,1.177777689434928,0,0.0,0,0.0,4.123749979232533,7.146296487205803,14.63701050319243,1.812830374998157
phase2_regression,baseline_cem,clean,103,True,True,1.330000000000001,1.330000000000001,90.10193464019989,0.1019346404804407,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.314743595208245,8.593851055410184,8.750803373494112,0.68,2.029880217734503,8.62389009292013,nan,nan,0,nan,0,nan,nan,nan,0.28520591736643,22.600228167008027
phase2_regression,nmpc_base,clean,103,True,True,2.099999999999999,2.099999999999999,90.05607966231653,0.05607966259708274,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,70,0,0.0,0,0.0,0.06766509352933749,0.17083433299558237,nan,nan,nan,nan,nan,nan,2.8997158679894297,3.201436209503789,3.3080968449449273,0.29,0.3936831917989113,3.2324607278166475,nan,nan,0,nan,0,nan,nan,nan,0.07139755730052312,9.039974166997126
phase2_regression,nmpc_crossing_weighted,clean,103,True,True,1.270000000000001,1.270000000000001,90.15076207284329,0.15076207312384124,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,43,0,0.0,0,0.0,0.03355270153490913,0.051052291004452854,nan,nan,nan,nan,nan,nan,2.3237455422385604,21.994095846750934,22.955371111955643,0.1,0.958326633759418,22.157514332027926,nan,nan,0,nan,0,nan,nan,nan,0.191685009365899,2.5741351659962675
phase2_regression,oracle_planner_nmpc_tracker,clean,103,True,True,1.7200000000000013,1.7200000000000013,90.04586730869896,0.045867308979516686,True,Solve_Succeeded,0.055518499997560866,13,2.941564423690245,1.7999999999999998,0.477862262410852,27.89111292840151,0.6069202842606982,0.046928487726560775,0.02595656692330972,172,0,0.0,0,0.0,0.017752248285031,0.04861791600706056,0.03322408960712058,0.0869990016718955,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,0.0,0.004908724643931619,0.1789462217011697,0.02,0.0019647738114378253,0.017531159442612854,1.1742037787842825,1.177777689434928,0,0.0,0,0.0,4.123749979232533,7.146296487205803,14.63701050319243,1.7546856669941917
phase2_regression,oracle_planner_nmpc_tracker_with_cem_fallback,clean,103,True,True,1.7200000000000013,1.7200000000000013,90.04586730869896,0.045867308979516686,True,Solve_Succeeded,0.055676499992841855,13,2.941564423690245,1.7999999999999998,0.477862262410852,27.89111292840151,0.6069202842606982,0.046928487726560775,0.02595656692330972,172,0,0.0,0,0.0,0.01756622368660363,0.054788416004157625,0.03322408960712058,0.0869990016718955,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,0.0,0.004908724643931619,0.1789462217011697,0.02,0.0019647738114378253,0.017531159442612854,1.1742037787842825,1.177777689434928,0,0.0,0,0.0,4.123749979232533,7.146296487205803,14.63701050319243,1.7569451250019483
