method,condition,seed,call_type,step,t,state_source,parameter_source,state_theta,state_omega,state_r,state_r_dot,param_m,param_k,param_b_r,controller_object_id,tracker_object_id,run_instance,plan_X_object_id,plan_U_object_id,action_F_tan,action_F_rad,solver_success,solver_status,tracker_predicted_alpha,tracker_constraint_slack
oracle_planner_tracker,clean,101,tracker,72,0.7200000000000004,true,true,0.7227423889661198,1.1669735841250215,0.34229669019511305,-0.012110510124840254,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,5.4084904764591215,0.015067943564486647,True,Solve_Succeeded,-0.07847591126085944,9.1029721378408e-05
oracle_planner_tracker,clean,101,tracker,75,0.7500000000000004,true,true,0.7576305281718636,1.1646209197184108,0.3419408006513179,-0.011757450753068782,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,5.245006049181522,0.013864616067236914,True,Solve_Succeeded,-0.08944510187293513,9.102615607060152e-05
oracle_planner_tracker,clean,101,tracker,78,0.7800000000000005,true,true,0.7924389112161421,1.1619391318328551,0.3415956970695823,-0.011389107753985566,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,5.073923042335977,0.012727592682389467,True,Solve_Succeeded,-0.10257589120588051,9.102095070758754e-05
oracle_planner_tracker,clean,101,tracker,81,0.8100000000000005,true,true,0.8271569494709836,1.1588633660262657,0.34126183140250316,-0.011005081545336885,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,4.8955802595503055,0.011631279811580722,True,Solve_Succeeded,-0.11851018145501899,9.101313802732133e-05
oracle_planner_tracker,clean,101,tracker,84,0.8400000000000005,true,true,0.8617718487991468,1.1553095049133153,0.340939617937887,-0.0106077173651725,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,4.710312668135777,0.010581061237668245,True,Solve_Succeeded,-0.13819492796018168,9.100327961659462e-05
oracle_planner_tracker,clean,101,tracker,87,0.8700000000000006,true,true,0.8962678913135245,1.1511650240339943,0.3406294183474503,-0.010198417652667454,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,4.518424058032488,0.009581853384131327,True,Solve_Succeeded,-0.16305333879401326,9.09904932373931e-05
oracle_planner_tracker,clean,101,tracker,90,0.9000000000000006,true,true,0.9306253666608891,1.1462747046904018,0.3403315613137573,-0.009778254358403285,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,4.320158669886754,0.008637545475332433,True,Solve_Succeeded,-0.19518153142497793,9.097604297734262e-05
oracle_planner_tracker,clean,101,tracker,93,0.9300000000000006,true,true,0.9648189868903315,1.1404204460830794,0.34004634452318344,-0.009348468053819944,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,4.1156863512812425,0.007751852727757393,True,Solve_Succeeded,-0.23746110780461888,9.095901287407334e-05
oracle_planner_tracker,clean,101,tracker,96,0.9600000000000006,true,true,0.9988156465216498,1.1332976997690514,0.3397740258009513,-0.008910690051827555,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,3.9051340874440292,0.006929447726536065,True,Solve_Succeeded,-0.2933653215827651,9.094282583753098e-05
oracle_planner_tracker,clean,101,tracker,99,0.9900000000000007,true,true,1.0325715658864867,1.1244977184936529,0.3395148101398832,-0.008466975519029302,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,3.6887032036641676,0.006176933313406822,True,Solve_Succeeded,-0.3662002272275977,9.092841086991111e-05
oracle_planner_tracker,clean,101,tracker,102,1.0200000000000007,true,true,1.066029248025449,1.1135125697445067,0.33926883791425644,-0.008019651142772142,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,3.4668831873330888,0.005502471794964844,True,Solve_Succeeded,-0.4577238927950811,9.09193448819475e-05
oracle_planner_tracker,clean,101,tracker,105,1.0500000000000007,true,true,1.099115211970937,1.099781572554641,0.33903618091350174,-0.007570918952252084,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,3.240695288784274,0.004913587953239535,True,Solve_Succeeded,-0.566613981890211,9.092020873563769e-05
oracle_planner_tracker,clean,101,tracker,108,1.0800000000000007,true,true,1.1317398095074107,1.08278370804041,0.33881685454043203,-0.007122224969486131,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,3.01181525267209,0.004414260071683731,True,Solve_Succeeded,-0.6877890505142685,9.092959220961615e-05
oracle_planner_tracker,clean,101,tracker,111,1.1100000000000008,true,true,1.163800112120185,1.0621503944351351,0.33861085080262376,-0.006673658295879454,1.2,450.0,18.0,4865732720,4865736272,oracle_planner_tracker-1783953972764505000-4865732720,4865848880,4865848976,2.7824398089162146,0.004003233795719936,True,Solve_Succeeded,-0.8134173967507967,9.095065077971957e-05
