row_type,condition,method,n,target_crossed_mean,crossing_time_mean,true_alpha_p95_mean,true_alpha_p99_mean,true_alpha_max_mean,alpha_violation_duration_mean,alpha_violation_integral_mean,state_tracking_rmse_mean,crossing_time_successful_only_mean,target_crossed_oracle,target_crossed_state_contribution,target_crossed_parameter_contribution,target_crossed_full_gap,target_crossed_interaction_residual,crossing_time_oracle,crossing_time_state_contribution,crossing_time_parameter_contribution,crossing_time_full_gap,crossing_time_interaction_residual,true_alpha_p95_oracle,true_alpha_p95_state_contribution,true_alpha_p95_parameter_contribution,true_alpha_p95_full_gap,true_alpha_p95_interaction_residual,true_alpha_p99_oracle,true_alpha_p99_state_contribution,true_alpha_p99_parameter_contribution,true_alpha_p99_full_gap,true_alpha_p99_interaction_residual,true_alpha_max_oracle,true_alpha_max_state_contribution,true_alpha_max_parameter_contribution,true_alpha_max_full_gap,true_alpha_max_interaction_residual,alpha_violation_duration_oracle,alpha_violation_duration_state_contribution,alpha_violation_duration_parameter_contribution,alpha_violation_duration_full_gap,alpha_violation_duration_interaction_residual,alpha_violation_integral_oracle,alpha_violation_integral_state_contribution,alpha_violation_integral_parameter_contribution,alpha_violation_integral_full_gap,alpha_violation_integral_interaction_residual,state_tracking_rmse_oracle,state_tracking_rmse_state_contribution,state_tracking_rmse_parameter_contribution,state_tracking_rmse_full_gap,state_tracking_rmse_interaction_residual
method_aggregate,mass_mismatch,baseline_cem,3,0.6666666666666666,2.349999999999994,9.926836609967891,25.54402599318173,36.739874913019776,1.1866666666666668,4.974638495947159,nan,2.349999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,mass_mismatch,oracle_planner_tracker,3,1.0,1.7200000000000013,2.879701164892937,2.9601789521987456,3.1789462217011697,0.02,0.0019647738114378253,0.03844230222815747,1.7200000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,mass_mismatch,state_error_only,3,1.0,1.7200000000000013,2.879868757226843,2.960683954836517,3.1789462217011697,0.02,0.001962946087587558,0.03863812390871549,1.7200000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,mass_mismatch,parameter_error_only,3,1.0,3.5799999999999677,3.2551512275062264,17.314408795001277,17.998975885914415,0.22,1.9985537081713722,1.2032285374076515,3.5799999999999677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,mass_mismatch,fixed_nominal_planner_tracker,3,0.0,nan,4.168414927372071,16.18706820643008,17.48845053066225,3.72,4.059108410899504,2.535947941065117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,mass_mismatch,full_adaptive_planner_tracker,3,1.0,5.599999999999926,3.311569941378428,16.717211377245704,17.48845053066225,0.88,2.1530236771793834,0.9262127134575743,5.599999999999926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decomposition,mass_mismatch,gap_decomposition,3,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.7200000000000013,0.0,1.8599999999999663,3.8799999999999244,2.019999999999958,2.879701164892937,0.00016759233390617467,0.3754500626132895,0.43186877648549116,0.05625112153829548,2.9601789521987456,0.0005050026377713124,14.354229842802532,13.757032425046958,-0.597702420393345,3.1789462217011697,0.0,14.820029664213246,14.30950430896108,-0.5105253552521667,0.02,0.0,0.2,0.86,0.6599999999999999,0.0019647738114378253,-1.8277238502673043e-06,1.9965889343599343,2.1510589033679457,0.15447179673186184,0.03844230222815747,0.00019582168055801846,1.164786235179494,0.8877704112294168,-0.27721164563063516
method_aggregate,parameter_mismatch_low_k,baseline_cem,3,1.0,2.0599999999999965,8.424356100201601,10.544968325971352,11.396139969663459,0.9900000000000001,2.329542968993642,nan,2.0599999999999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,parameter_mismatch_low_k,oracle_planner_tracker,3,1.0,1.7200000000000013,2.879701164892937,2.9601789521987456,3.1789462217011697,0.02,0.0019647738114378253,0.03844230222815747,1.7200000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_aggregate,parameter_mismatch_low_k,state_error_only,3,1.0,1.7200000000000013,2.879868757226843,2.960683954836517,3.1789462217011697,0.02,0.001962946087587558,0.03863812390871549,1.7200000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
