condition,parameter,n_transitions,abs_dalpha_dp_mean,abs_dalpha_dp_p95,abs_dalpha_dp_max,abs_relative_dalpha_mean,abs_relative_dalpha_p95,abs_relative_dalpha_max,finite_difference_abs_error_max,finite_difference_scaled_error_max,top10_abs_F_tan_mean,top10_abs_F_rad_mean,top10_abs_delta_r_mean,top10_abs_r_dot_mean,top10_abs_omega_mean,top10_mass_driver_mean,model_alpha_rmse,symbolic_numpy_state_max_abs,planner_dt_symbolic_numpy_state_max_abs,affine_acceleration_max_abs,geometry_inertia_factor_min,geometry_inertia_factor_median,geometry_inertia_factor_max
noise_bias,m,922,18.180039669940253,37.07309602223484,37.471465904803715,21.8160476039283,44.487715226681814,44.965759085764454,1.2193794418635662e-08,1.7369587990145874e-09,7.155920103804757,0.18492128217694798,0.0009034052192408064,0.0068527621199260475,0.6621883027461432,2.2370200619515384,3.862906037115666e-15,1.1102230246251565e-16,2.220446049250313e-16,9.992007221626409e-15,0.033075164343746695,0.03742725973885193,0.04221197226828681
noise_bias,k,922,0.0014999909263851284,0.0054208954996901905,0.005609304192366415,0.6749959168733078,2.4394029748605854,2.5241868865648867,3.3574700311622685e-11,3.3574700311622685e-11,5.670336224586178,0.32920907938818317,0.00789293754568782,0.012175325949130348,1.1935063458303277,3.8192982011909646,3.862906037115666e-15,1.1102230246251565e-16,2.220446049250313e-16,9.992007221626409e-15,0.033075164343746695,0.03742725973885193,0.04221197226828681
noise_bias,b_r,922,0.003670828802998747,0.015406546877209047,0.023585155889603193,0.06607491845397744,0.2773178437897629,0.4245328060128575,8.081319112160368e-10,8.081319112160368e-10,6.452473013839693,0.37292582793307927,0.0035598909775199365,0.01775949335788013,1.0005813636697858,2.579381225608387,3.862906037115666e-15,1.1102230246251565e-16,2.220446049250313e-16,9.992007221626409e-15,0.033075164343746695,0.03742725973885193,0.04221197226828681
parameter_mismatch_high_k,m,906,18.223386868117267,37.00221840144063,37.40025128267572,21.868064241740722,44.40266208172876,44.88030153921086,1.1804473842857988e-08,1.4276833621859437e-09,7.180231464100143,0.061426100371243304,0.0006977180628767463,0.006737122443904839,0.7440731019393207,2.2371427273381954,3.860891343877091e-15,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-14,0.03313068729691385,0.03743377828184329,0.041598294884316656
parameter_mismatch_high_k,k,906,0.0014335559240277885,0.005213523325544515,0.005328140166538492,0.645100165812505,2.3460854964950317,2.3976630749423213,3.610824660105205e-11,3.610824660105205e-11,5.572386261294869,0.19636814766206723,0.00780571883104651,0.012511500604836467,1.1881107752575033,3.886539213537229,3.860891343877091e-15,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-14,0.03313068729691385,0.03743377828184329,0.041598294884316656
parameter_mismatch_high_k,b_r,906,0.0034951546510920946,0.013088683824564521,0.016233237552248498,0.06291278371965771,0.23559630884216137,0.292198275940473,6.860291831140009e-10,6.860291831140009e-10,6.4169346148899296,0.14212678608271462,0.003615950923758092,0.015289338006350862,1.0629709977830124,2.636350615413938,3.860891343877091e-15,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-14,0.03313068729691385,0.03743377828184329,0.041598294884316656
parameter_mismatch_low_k,m,1023,16.275732443784204,37.00201838904063,37.32448521806274,19.530878932541043,44.40242206684875,44.789382261675286,1.3503125728675514e-08,1.842349273140087e-09,7.150903972849096,0.12185351352578011,0.0007983653261924707,0.006829020614089825,0.7166152273271739,2.235736866509474,3.592446707353558e-15,5.551115123125783e-17,2.220446049250313e-16,1.0658141036401503e-14,0.033122321816114506,0.037528195440371184,0.041602363800944134
parameter_mismatch_low_k,k,1023,0.0013225889361544614,0.0052479112190766805,0.005444271064769235,0.5951650212695077,2.361560048584506,2.4499219791461555,3.2334520911475595e-11,3.2334520911475595e-11,5.606456046436992,0.23566591709433493,0.007773928054834174,0.012010874113130407,1.1753880543085713,3.842065919402207,3.592446707353558e-15,5.551115123125783e-17,2.220446049250313e-16,1.0658141036401503e-14,0.033122321816114506,0.037528195440371184,0.041602363800944134
parameter_mismatch_low_k,b_r,1023,0.003145206836344611,0.013521382811336956,0.020802990172010236,0.056613723054202994,0.2433848906040652,0.37445382309618425,6.099892015110076e-10,6.099892015110076e-10,6.423580337845302,0.2696002606852859,0.00368460057344331,0.015901328490682924,1.0046142587495912,2.6498368531685794,3.592446707353558e-15,5.551115123125783e-17,2.220446049250313e-16,1.0658141036401503e-14,0.033122321816114506,0.037528195440371184,0.041602363800944134
stronger_noise,m,1092,17.20183320785102,37.1652807319106,39.34157343424902,20.642199849421225,44.59833687829272,47.20988812109882,1.0535117667131999e-08,2.3272821276925417e-09,7.182167997891251,0.3222651345072856,0.0012884544873932933,0.007590458513922783,0.6841656048387036,2.2841844353795064,3.734440702090931e-15,2.220446049250313e-16,4.440892098500626e-16,1.4210854715202004e-14,0.032856831087270194,0.03729439058053084,0.04293160353648174
