         215066 function calls in 0.118 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.000    0.000 numeric.py:1444(_moveaxis_dispatcher)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:3730(_mean_dispatcher)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:3864(_std_dispatcher)
       30    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       20    0.000    0.000    0.000    0.000 fromnumeric.py:3185(_min_dispatcher)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:574(_swapaxes_dispatcher)
       20    0.000    0.000    0.000    0.000 shape_base.py:76(_atleast_2d_dispatcher)
       10    0.000    0.000    0.000    0.000 surface_loads.py:248(patch_count)
       10    0.000    0.000    0.000    0.000 numeric.py:1518(_cross_dispatcher)
        9    0.000    0.000    0.000    0.000 fromnumeric.py:1443(_searchsorted_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


