phase,method,condition,seed,target_crossed,crossing_time,final_theta_deg,raw_alpha_mean,raw_alpha_p95,raw_alpha_p99,raw_alpha_max,alpha_violation_count,alpha_violation_p95,alpha_violation_max,alpha_violation_duration,alpha_violation_integral,planned_alpha_abs_p95,planned_alpha_abs_max,executed_alpha_abs_p95,executed_alpha_abs_max,raw_omega_mean,raw_omega_p95,raw_omega_max,omega_violation_count,omega_violation_p95,omega_violation_max,delta_r_violation_count,delta_r_violation_max,force_violation_count,force_violation_max,theta_tracking_error_deg_mean,theta_tracking_error_rad_mean,omega_tracking_error_mean,state_tracking_rmse,state_estimation_error_mean,m_error_final,k_error_final,b_r_error_final,planner_failure_count,planner_solve_mean,planner_solve_p95,planner_solve_max,planner_iterations_mean,tracker_failure_count,tracker_solve_mean,tracker_solve_p95,tracker_solve_max,tracker_iterations_mean,fallback_count,fallback_rate,replan_count,replan_reasons,action_magnitude_mean,action_magnitude_max,action_total_variation,runtime_s
phase2,oracle_planner_tracker,clean,102,True,1.7200000000000013,90.04586730869896,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,2,0.0,0.1789462217011697,0.02,0.0019647738114378253,2.923475829681258,2.941564423690245,2.879701164892937,3.1789462217011697,0.8398116363240792,1.1742037787842825,1.177777689434928,0,0.0,0.0,0,0.0,0,0.0,0.8922225358284359,0.015572220910699278,0.024833433540524325,0.0335006131050156,nan,0.0,0.0,0.0,0,0.059075040990137495,0.059075040990137495,0.059075040990137495,13.0,0,0.017916803297466262,0.03618072919925907,0.048715790995629504,5.063953488372093,0,0.0,0,,4.123749979232533,7.146296487205803,14.63701050319243,1.7951848750089994
phase2,fixed_planner_tracker,clean,102,False,nan,-35.58914533864036,1.860839988469696,2.906473177238505,6.072598868811056,6.363365804818863,26,0.0,3.363365804818863,0.26,0.7074126314950598,2.8862460241110703,2.9129014396576265,2.906473177238505,6.363365804818863,0.49691325734494596,1.0075621617090282,1.5144547056162476,31,0.0,0.31445470561624767,0,0.0,0,0.0,108.76628792680027,1.8983298394948223,0.6076117186950777,2.0985423293861563,0.3906742108990451,0.25,90.0,6.0,0,0.06252370899892412,0.06252370899892412,0.06252370899892412,14.0,0,0.037185524014886014,0.06032829200557899,0.10135641699889675,11.438202247191011,0,0.0,0,,5.521466045274256,6.048071772075673,52.48237204314359,12.453376958001172
phase2,adaptive_planner_tracker,clean,102,True,3.099999999999978,90.0023822100803,1.2916934820476218,3.300006623619006,6.1815934444824965,6.363365804818863,25,0.3000066236190062,3.363365804818863,0.25,0.4007490852902471,2.8862460241110703,2.9129014396576265,3.300006623619006,6.363365804818863,0.5578214537328199,1.1839881797893481,1.188674743694339,0,0.0,0.0,0,0.0,0,0.0,14.278219389520666,0.24920193966923035,0.34086324246050925,0.46938221152872966,0.009423488629548324,0.07363893871051075,83.89771194115355,7.384436057258421,0,0.06271429199841805,0.06271429199841805,0.06271429199841805,14.0,0,0.029308201500117,0.0438099580060225,0.06018004199722782,9.167741935483871,0,0.0,0,,3.365279613669664,7.258843276182173,18.675399346441722,5.775987208005972
phase2,adaptive_planner_tracker_replan,clean,102,True,2.479999999999991,90.05874468494152,1.5359176061607116,2.990067822588448,6.205670534921494,6.363365804818863,13,0.0007204223463967028,3.363365804818863,0.13,0.3754254294034962,2.991298719978816,2.992574284839178,2.990067822588448,6.363365804818863,0.6975263575006297,1.1587931314213198,1.1829702032345661,0,0.0,0.0,0,0.0,0,0.0,0.5645858177121075,0.009853881429140794,0.056485618726583045,0.061299422831944936,0.012332517063592133,0.03370339493168273,83.05116469731735,7.143218697616069,0,0.061675791400757005,0.07686245800869074,0.07686245800869074,13.60483870967742,0,0.021312758943167864,0.042502708005486056,0.059946334004052915,6.419354838709677,0,0.0,3,parameter_change;state_tracking_error,4.243770882715973,7.2020930060698225,14.900704848844173,5.577431207988411
phase2,baseline_cem,clean,103,True,1.330000000000001,90.10193464019989,3.7679248817833155,10.314743595208245,11.593851055410184,11.750803373494112,68,7.314743595208245,8.750803373494112,0.68,2.029880217734503,nan,nan,10.314743595208245,11.750803373494112,1.1038999728601075,1.6872460411528785,1.721567620959618,73,0.4872460411528785,0.5215676209596181,0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,0,,4.641643213015967,8.533476682107095,37.93238700973519,23.07997483399231
phase2,oracle_planner_tracker,clean,103,True,1.7200000000000013,90.04586730869896,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,2,0.0,0.1789462217011697,0.02,0.0019647738114378253,2.923475829681258,2.941564423690245,2.879701164892937,3.1789462217011697,0.8398116363240792,1.1742037787842825,1.177777689434928,0,0.0,0.0,0,0.0,0,0.0,0.8922225358284359,0.015572220910699278,0.024833433540524325,0.0335006131050156,nan,0.0,0.0,0.0,0,0.05680116701114457,0.05680116701114457,0.05680116701114457,13.0,0,0.01839152590214643,0.03493969010232828,0.05207387499103788,5.063953488372093,0,0.0,0,,4.123749979232533,7.146296487205803,14.63701050319243,1.8321019579889253
phase2,fixed_planner_tracker,clean,103,False,nan,-35.58914533864036,1.860839988469696,2.906473177238505,6.072598868811056,6.363365804818863,26,0.0,3.363365804818863,0.26,0.7074126314950598,2.8862460241110703,2.9129014396576265,2.906473177238505,6.363365804818863,0.49691325734494596,1.0075621617090282,1.5144547056162476,31,0.0,0.31445470561624767,0,0.0,0,0.0,108.76628792680027,1.8983298394948223,0.6076117186950777,2.0985423293861563,0.3906742108990451,0.25,90.0,6.0,0,0.06032533400866669,0.06032533400866669,0.06032533400866669,14.0,0,0.03704119006748231,0.061396749995765276,0.07274962500378024,11.438202247191011,0,0.0,0,,5.521466045274256,6.048071772075673,52.48237204314359,12.415903874993091
phase2,adaptive_planner_tracker,clean,103,True,3.099999999999978,90.0023822100803,1.2916934820476218,3.300006623619006,6.1815934444824965,6.363365804818863,25,0.3000066236190062,3.363365804818863,0.25,0.4007490852902471,2.8862460241110703,2.9129014396576265,3.300006623619006,6.363365804818863,0.5578214537328199,1.1839881797893481,1.188674743694339,0,0.0,0.0,0,0.0,0,0.0,14.278219389520666,0.24920193966923035,0.34086324246050925,0.46938221152872966,0.009423488629548324,0.07363893871051075,83.89771194115355,7.384436057258421,0,0.06355370799428783,0.06355370799428783,0.06355370799428783,14.0,0,0.02963616859957373,0.04707258399866987,0.06317466699692886,9.167741935483871,0,0.0,0,,3.365279613669664,7.258843276182173,18.675399346441722,5.807259708992206
phase2,adaptive_planner_tracker_replan,clean,103,True,2.479999999999991,90.05874468494152,1.5359176061607116,2.990067822588448,6.205670534921494,6.363365804818863,13,0.0007204223463967028,3.363365804818863,0.13,0.3754254294034962,2.991298719978816,2.992574284839178,2.990067822588448,6.363365804818863,0.6975263575006297,1.1587931314213198,1.1829702032345661,0,0.0,0.0,0,0.0,0,0.0,0.5645858177121075,0.009853881429140794,0.056485618726583045,0.061299422831944936,0.012332517063592133,0.03370339493168273,83.05116469731735,7.143218697616069,0,0.05977443699268934,0.07716062500549015,0.07716062500549015,13.60483870967742,0,0.02106067641556541,0.03942524999729358,0.058017542003653944,6.419354838709677,0,0.0,3,parameter_change;state_tracking_error,4.243770882715973,7.2020930060698225,14.900704848844173,5.546355665996089
phase2,baseline_cem,noise,101,True,2.399999999999993,90.00932120541503,3.0122547019045367,7.355739658343485,11.219798107907557,12.765949658181274,103,4.355739658343485,9.765949658181274,1.03,2.2302279405602037,nan,nan,7.355739658343485,12.765949658181274,0.6230537784140809,1.443945004592083,1.6343036284764278,19,0.24394500459208301,0.4343036284764279,0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,0,,4.112003451244201,8.27561415285362,48.67582959874849,41.34247087499534
phase2,oracle_planner_tracker,noise,101,True,1.7200000000000013,90.04586730869896,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,2,0.0,0.1789462217011697,0.02,0.0019647738114378253,2.923475829681258,2.941564423690245,2.879701164892937,3.1789462217011697,0.8398116363240792,1.1742037787842825,1.177777689434928,0,0.0,0.0,0,0.0,0,0.0,0.8922225358284359,0.015572220910699278,0.024833433540524325,0.0335006131050156,nan,0.0,0.0,0.0,0,0.05861720800749026,0.05861720800749026,0.05861720800749026,13.0,0,0.017541456412504357,0.03370177759934449,0.048442165993037634,5.063953488372093,0,0.0,0,,4.123749979232533,7.146296487205803,14.63701050319243,1.7878238749981392
phase2,fixed_planner_tracker,noise,101,False,nan,-38.97242695211785,2.0097718217281355,3.2648208938714287,6.013358155017434,6.601658947882546,107,0.2648208938714288,3.6016589478825463,1.07,0.86560812527261,2.8970837386800516,2.9198893126920473,3.2648208938714287,6.601658947882546,0.5433779938209046,1.0298062529365688,1.5641115440735942,33,0.0,0.36411154407359425,0,0.0,0,0.0,108.57008034229933,1.8949053711278954,0.6456515834643606,2.1059425884351524,0.3873259351874285,0.25,90.0,6.0,0,0.061180000004242174,0.061180000004242174,0.061180000004242174,14.0,0,0.03718132790598159,0.06316033400071319,0.08602141700976063,11.52059925093633,0,0.0,0,,5.499670180470319,6.022141478452416,55.43678291660699,12.487256458000047
phase2,adaptive_planner_tracker,noise,101,True,3.289999999999974,90.01081019056299,1.5287245419124735,3.139941093245427,6.10861553242854,6.601658947882546,21,0.13994109324542695,3.6016589478825463,0.21,0.39582594729899867,2.8970837386800516,2.9198893126920473,3.139941093245427,6.601658947882546,0.5595061641369543,1.197112712307663,1.2372843386345922,14,0.0,0.03728433863459224,0,0.0,0,0.0,17.207817918316454,0.3003330797582987,0.40064008801331635,0.5570734614427689,0.024334329575192565,0.26284002363706926,202.63140730205288,12.121838261933988,0,0.06159387499792501,0.06159387499792501,0.06159387499792501,14.0,0,0.028934085617616127,0.05436841600749176,0.07153545899200253,9.142857142857142,0,0.0,0,,3.4742849248863594,7.299958290754884,28.400231307215805,6.312994874999276
phase2,adaptive_planner_tracker_replan,noise,101,True,2.669999999999987,90.03873860373628,1.669815317872271,3.00307447612883,6.219866683311419,6.601658947882546,14,0.011547233163008649,3.6016589478825463,0.14,0.37730467897317665,2.9938656031630138,2.9947534453332945,3.00307447612883,6.601658947882546,0.6896434106729358,1.1920982197630323,1.2112505732121805,10,0.0,0.011250573212180592,0,0.0,0,0.0,0.7066555495374383,0.012333466016918192,0.06540447887703155,0.0697724133329588,0.025581757422936325,0.002465059547019699,100.54060970523483,11.574448238184026,2,0.05976995726863545,0.08720045900554396,0.08720045900554396,13.44943820224719,0,0.023600466764895665,0.04467933399428148,0.06203229101083707,6.876404494382022,0,0.0,3,parameter_change;state_tracking_error,4.268061849876389,7.269422133085137,20.64681421791262,7.549320082995109
phase2,baseline_cem,noise,102,True,2.299999999999995,90.10088571542713,3.2505669332343468,8.61341498116377,11.932881434080999,13.746982346880856,104,5.6134149811637695,10.746982346880856,1.04,2.5805111651846775,nan,nan,8.61341498116377,13.746982346880856,0.6353196515389637,1.3788386053492148,1.5968337577809018,32,0.17883860534921492,0.3968337577809018,0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,0,,3.989430360118085,8.631768215735125,51.235900264681725,39.85589016599988
phase2,oracle_planner_tracker,noise,102,True,1.7200000000000013,90.04586730869896,1.3125291434018302,2.879701164892937,2.9601789521987456,3.1789462217011697,2,0.0,0.1789462217011697,0.02,0.0019647738114378253,2.923475829681258,2.941564423690245,2.879701164892937,3.1789462217011697,0.8398116363240792,1.1742037787842825,1.177777689434928,0,0.0,0.0,0,0.0,0,0.0,0.8922225358284359,0.015572220910699278,0.024833433540524325,0.0335006131050156,nan,0.0,0.0,0.0,0,0.05725566699402407,0.05725566699402407,0.05725566699402407,13.0,0,0.01762066121980667,0.03370774389622965,0.04818812498706393,5.063953488372093,0,0.0,0,,4.123749979232533,7.146296487205803,14.63701050319243,1.782447833000333
