method,input_source,condition,parameter,interval_level,sample_count,coverage,mean_interval_width,mean_error_over_predicted_std,calibration_label
windowed_nls_huber,ukf_filtered,noise_bias,k,0.95,91,0.01098901098901099,87.27846558253015,12.876352826951473,overconfident
windowed_nls_huber,ukf_filtered,noise_bias,b_r,0.5,91,0.23076923076923078,11.255361817456405,1.2095512986400432,overconfident
windowed_nls_huber,ukf_filtered,noise_bias,b_r,0.9,91,0.7802197802197802,27.44804163800349,1.2095512986400432,directional
windowed_nls_huber,ukf_filtered,noise_bias,b_r,0.95,91,0.8681318681318682,32.706358760947644,1.2095512986400432,directional
windowed_nls_cauchy,ukf_filtered,noise_bias,m,0.5,91,0.6593406593406593,0.05273586316281361,0.8234903099442868,underconfident
windowed_nls_cauchy,ukf_filtered,noise_bias,m,0.9,91,0.8791208791208791,0.1286050321069182,0.8234903099442868,directional
windowed_nls_cauchy,ukf_filtered,noise_bias,m,0.95,91,0.8901098901098901,0.15324234690493596,0.8234903099442868,directional
windowed_nls_cauchy,ukf_filtered,noise_bias,k,0.5,91,0.0,28.71021371644582,13.496694118976393,overconfident
windowed_nls_cauchy,ukf_filtered,noise_bias,k,0.9,91,0.01098901098901099,70.01455433469778,13.496694118976393,overconfident
windowed_nls_cauchy,ukf_filtered,noise_bias,k,0.95,91,0.01098901098901099,83.42748684073516,13.496694118976393,overconfident
windowed_nls_cauchy,ukf_filtered,noise_bias,b_r,0.5,91,0.1978021978021978,10.695723690329302,1.2806905206260712,overconfident
windowed_nls_cauchy,ukf_filtered,noise_bias,b_r,0.9,91,0.7362637362637363,26.08327248488973,1.2806905206260712,overconfident
windowed_nls_cauchy,ukf_filtered,noise_bias,b_r,0.95,91,0.8681318681318682,31.080136018491174,1.2806905206260712,directional
windowed_nls_current,ukf_filtered,stronger_noise,m,0.5,108,0.5833333333333334,0.04098201411828274,0.7169853465907244,directional
