solver,filter,case,condition,target_reached,final_theta_deg,T_reach,done_reason,runtime_s,max_abs_F_rad,max_abs_delta_r,max_abs_omega,max_abs_alpha_step,max_abs_F_tan,feasible_mpc_decisions,total_mpc_decisions,feasible_mpc_decision_ratio,mean_feasible_count,omega_violation_count,alpha_violation_count,max_omega_violation_severity,max_alpha_violation_severity,rms_raw_theta,rms_raw_omega,rms_raw_r,rms_raw_r_dot,rms_filt_theta,rms_filt_omega,rms_filt_r,rms_filt_r_dot,rms_reduction_theta,rms_reduction_omega,rms_reduction_r,rms_reduction_r_dot,rms_reduction_ratio_theta,rms_reduction_ratio_omega,rms_reduction_ratio_r,rms_reduction_ratio_r_dot,mean_innovation_norm,max_covariance_trace,ukf_failure_count,final_bias_theta_hat,final_bias_omega_hat,final_bias_r_hat,final_bias_r_dot_hat,rms_bias_error_theta,rms_bias_error_omega,rms_bias_error_r,rms_bias_error_r_dot,final_m_hat,final_k_hat,final_b_r_hat,mean_m_hat,mean_k_hat,mean_b_r_hat,std_m_hat,std_k_hat,std_b_r_hat,total_parameter_update_count,mean_parameter_step_norm,max_parameter_step_norm,bound_hit_count,mean_nls_residual,mean_prediction_error
cem,ukf,case_D_frozen_estimator_model,noise,True,90.08379170803032,4.939999999999939,target_reached,77.85277574998327,0.9974488945124511,0.012004320870439567,1.5294904370481142,74.64191681986942,11.282663413727079,75,165,0.45454545454545453,0.45454545454545453,17,94,0.3294904370481142,71.64191681986942,0.003805690320687764,0.034735392157488526,0.0008541461755340016,0.004179131270598547,0.001542757763642373,0.039475379547894186,0.0004248458678222281,0.0034311929353754247,0.002262932557045391,-0.00473998739040566,0.00042930030771177346,0.0007479383352231223,0.594618155014892,-0.13645987841204715,0.5026075395623942,0.1789698113780476,0.0727623001144693,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,1.138124533296161,440.31474746039123,41.684469266581395,1.1557138432004657,423.92953669535046,30.839049204455247,0.05122525300708317,38.46407744585211,7.8677629472644295,49,0.749221555070644,42.64812408880569,0,0.023172509467002514,0.023172509467002514
cem,ukf,case_D_frozen_estimator_model,noise_bias,False,87.13183344136034,nan,max_time,126.63274141692091,0.7679896366495218,0.011837533934028643,1.534178968540033,10.480888108762532,8.100711979433903,46,267,0.17228464419475656,0.17228464419475656,19,84,0.33417896854003315,7.480888108762532,0.01078927230693116,0.03880142536204565,0.0016851007811867957,0.004452720955175783,0.009581241776868301,0.03166481844635665,0.0006782663097704572,0.0032887180142580586,0.0012080305300628588,0.0071366069156890005,0.0010068344714163385,0.0011640029409177247,0.1119658949831867,0.18392641118462127,0.5974921397325788,0.26141385293069025,0.059454131383079714,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,1.2657779131189506,509.6024139504401,44.99999999999999,1.296570268979421,513.6406497366062,36.36783327631399,0.0757137570791478,53.80339335948092,8.829156142436283,80,0.6068845043560259,23.832131886855315,232,0.021407980443317355,0.021407980443317355
cem,ukf,case_E_oracle_identifier,clean,True,90.0700978722559,2.0400000000000005,target_reached,31.769913917058147,0.8111184282301429,0.01166965033047851,1.5965253580260927,11.07112743225791,8.066948274318207,0,68,0.0,0.0,16,76,0.3965253580260928,8.07112743225791,0.0,0.0,0.0,0.0,1.2952694078430162e-07,2.583630653012718e-07,9.5642203809483e-08,1.339298049235193e-07,-1.2952694078430162e-07,-2.583630653012718e-07,-9.5642203809483e-08,-1.339298049235193e-07,nan,nan,nan,nan,0.005800887326017616,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,1.2000039619676597,450.0687140759926,17.300066453679825,1.187959855626512,443.86358995566616,16.116317623681045,0.05388826401108984,23.68398351824536,1.4662940631124848,20,0.5267846869545829,43.91931521456712,0,0.005892484740684157,0.005892484740684157
cem,ukf,case_E_oracle_identifier,noise,True,90.04537705631785,2.1399999999999983,target_reached,33.57553083298262,0.8095747899015237,0.011683796749895559,1.587254129707689,10.41335452753882,8.335034288349544,1,72,0.013888888888888888,0.013888888888888888,20,86,0.387254129707689,7.41335452753882,0.003984371544865668,0.035349649035827053,0.0008083007769779897,0.003963485591244203,0.0016763793198124129,0.026690550626583303,0.000253116458733824,0.0030037405940174164,0.0023079922250532547,0.00865909840924375,0.0005551843182441657,0.0009597449972267866,0.5792612960574358,0.24495571088888915,0.6868536243647376,0.24214671029635482,0.04161639877122536,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,1.2000037766772733,450.0633674069164,17.40636708759638,1.18851973723055,444.1146307397697,16.23895789194871,0.052681145282648494,23.179385728975145,1.49501973715316,21,0.5051240798917432,43.963743847032944,0,0.005728758651585126,0.005728758651585126
cem,ukf,case_E_oracle_identifier,noise_bias,False,86.92906767491563,nan,max_time,125.01319966604933,0.7687677576138516,0.011737333937771488,1.6057421921871877,11.015768070018572,8.469006277060586,188,267,0.704119850187266,0.704119850187266,23,82,0.40574219218718777,8.015768070018572,0.01078927230693116,0.03880142536204565,0.0016851007811867957,0.004452720955175783,0.009655208688314957,0.028379424693266826,0.0003979593619617118,0.0030886360532999726,0.0011340636186162028,0.010422000668778825,0.0012871414192250838,0.0013640849018758108,0.10511029718729654,0.2685983973922077,0.7638364622432647,0.3063486159603639,0.03553574793477702,0.07100000000000001,0,nan,nan,nan,nan,nan,nan,nan,nan,1.2000022723085348,449.99858251768995,17.3984091634164,1.1969232176348334,448.27808940897773,17.03428013421257,0.027746672072503704,12.76780726344404,0.9867414680162404,80,0.13930703481154538,40.5743843756694,0,0.0014261218318270554,0.0014261218318270554
cem,ukf_bias,case_A_current_adaptive,clean,True,90.14631852620893,2.06,target_reached,32.37365779199172,0.901936195275346,0.011336196866756854,1.6265414427484994,9.437799872804876,7.953188824150843,0,69,0.0,0.0,17,84,0.4265414427484995,6.4377998728048755,0.0,0.0,0.0,0.0,0.014207406232261228,0.009393297832139972,0.002464035579896003,0.0006573687609728409,-0.014207406232261228,-0.009393297832139972,-0.002464035579896003,-0.0006573687609728409,nan,nan,nan,nan,0.00725256292397194,0.0732,0,0.0047636998280648915,-0.005813205998756897,0.003163700896158644,0.0005330747548645065,0.014207526849567916,0.009393256299063457,0.002463928876275999,0.0006572598628036766,1.1727951997845183,342.00379700893745,10.272118103203592,1.173793573034318,332.08580268253144,10.287019520972684,0.05095604822094858,19.805160895715257,0.728083326192903,20,0.6789483013820728,58.776089433099955,0,0.007264971106065542,0.007264971106065542
cem,ukf_bias,case_A_current_adaptive,noise,True,90.21661702349557,1.8000000000000014,target_reached,28.278840458020568,0.9510645018644888,0.011180485887213543,1.6432304871765282,10.694412413161114,7.839009270319567,0,60,0.0,0.0,16,66,0.44323048717652824,7.694412413161114,0.003980517239932036,0.03531414186367552,0.0008326801151392483,0.003923154638108249,0.013155256682231992,0.031172480681154014,0.004258899897734707,0.00655410866021021,-0.009174739442299955,0.004141661182521506,-0.0034262197825954584,-0.0026309540221019605,-2.304911369371837,0.11728052740201682,-4.114689086843986,-0.6706220541361607,0.04327613675699076,0.0732,0,0.002748950252827605,-0.009115738193980628,0.005614706013468623,0.004871189356496441,0.013307760620878881,0.013390100206325984,0.0035870786336046523,0.004672445679741144,1.1863219518892882,280.1001962796519,24.330992929688875,1.180460556761017,275.07236943377217,20.04447317272636,0.05600425969841286,23.768027231264295,3.206776104261436,18,0.903434517337165,79.87121437949824,0,0.02694563969285902,0.02694563969285902
cem,ukf_bias,case_A_current_adaptive,noise_bias,True,90.01365991496137,2.1899999999999973,target_reached,34.567340667010285,0.9735819568672014,0.011203126888190473,1.649583390267675,10.789745762859031,8.23122992641531,0,73,0.0,0.0,22,90,0.44958339026767513,7.789745762859031,0.010550832161913371,0.03695315186726175,0.0016717146098193744,0.004644999447227194,0.007270342073692134,0.025704377134933364,0.003589511432085136,0.004664360880681004,0.0032804900882212372,0.011248774732328388,-0.0019177968222657616,-1.936143345381003e-05,0.3109224028852647,0.3044063676282542,-1.1472034825806636,-0.004168231594810571,0.038332463325926824,0.0732,0,0.011989446299183595,-0.016075376580634494,0.006098522014448462,0.00527653700074089,0.006950662664852089,0.004477985507519478,0.0032301927894901523,0.003150600775265632,1.191593287737174,306.6073683083946,26.937248309490382,1.180828102144255,301.4625813779523,21.199190310554943,0.050708614800307056,15.462907744628344,4.144798877683865,21,0.5470921618379359,57.656916696841776,0,0.023846076125011773,0.023846076125011773
cem,ukf_bias,case_B_mpc_only_raw_identifier,clean,True,90.03351590126884,1.9700000000000015,target_reached,31.095401124912314,0.7973987614835265,0.011653947104526607,1.631137485927897,10.992784390993027,7.979842810936653,0,66,0.0,0.0,20,81,0.43113748592789713,7.992784390993027,0.0,0.0,0.0,0.0,0.010471712305993511,0.008312888596178368,0.0002207436307541499,0.00017707503943606672,-0.010471712305993511,-0.008312888596178368,-0.0002207436307541499,-0.00017707503943606672,nan,nan,nan,nan,0.00721183438645988,0.0732,0,0.0006775396206079094,-0.004992871164750751,-6.907960027822238e-06,6.790056380118733e-05,0.010471818639370998,0.008312847537588059,0.00022081119376336626,0.00017714358733470265,1.200001739134138,450.0796993334891,17.368887898284335,1.1875344338216858,443.5623918745458,16.133088552186493,0.05478421867641463,24.20215235587654,1.5172712559664643,19,0.5478330975492137,44.73408309259367,0,0.006153521974190489,0.006153521974190489
cem,ukf_bias,case_B_mpc_only_raw_identifier,noise,True,91.76102729903559,1.270000000000001,target_reached,19.83325079199858,0.7597874056448617,0.010562388521125565,5.245219934789763,60.144569598353904,11.737096060115233,0,43,0.0,0.0,33,55,4.045219934789762,57.144569598353904,0.004203210557179441,0.03560705446333575,0.0008576132174678408,0.0037136467858769695,0.011131009301976804,0.03360407112380439,0.0010309216183790478,0.0031671526052422525,-0.0069277987447973624,0.002002983339531361,-0.00017330840091120696,0.000546494180634717,-1.6482159650470265,0.0562524300232083,-0.20208224101642389,0.1471583626943303,0.04565003292331927,0.0732,0,0.002214233071932089,-0.011498944742478673,0.0012744440419675252,0.0015634954842822352,0.011307192959843566,0.013632057818131697,0.0007100571852719974,0.0005646281243299805,1.1964305164492393,415.5318667572191,44.99999999999999,1.1825008200751725,363.2007174007905,32.986735648298804,0.06794216337349143,33.814223865021354,11.325090290573174,12,1.310466866046555,41.06280077640689,28,0.048242251082193155,0.048242251082193155
