q1_deg,q2_deg,absolute_shank_deg,current_rom_valid,current_soft_limit_active,current_rom_model_dominated,classification,mechanical_blockers,intrinsic_mechanical_blockers,surrogate_geometry_blockers,thigh_bed_clearance_m,shank_bed_clearance_m,sleeve_bed_clearance_m,current_tau1_nm,current_tau2_nm,conditional_tau1_nm,conditional_tau2_nm,current_cuff_force_n,current_cuff_moment_abs_nm,conditional_cuff_force_n,conditional_cuff_moment_abs_nm,conditional_force_gate_margin_n,rigid_cuff_rank,rigid_cuff_condition_raw,point_force_rank,ur10e_reachable,ur10e_ik_residual,ur10e_joint_limit_margin_deg,ur10e_jacobian_sigma_min,ur10e_jacobian_condition,ur10e_peak_torque_fraction,robot_bed_min_distance_m,robot_human_min_distance_m,robot_self_collision
95.0,30.0,65.0,False,True,True,geometric_or_robotic_infeasible,ur10e_full_pose_ik_unreachable,ur10e_full_pose_ik_unreachable,,-3.469446951953614e-18,0.4402175397023218,0.7178559460803828,1616.041157048305,0.2756464609890594,16.04117079929256,0.2756464609890594,5147.919317331536,510.3641255077216,52.559632267379754,5.272633175712259,147.44036773262025,2,5.968544349857614,2,False,0.02237541939651809,nan,nan,nan,nan,nan,nan,False
95.0,40.0,55.0,False,True,True,blocked_by_current_surrogate_collision_geometry,ur10e_human_intersection,,ur10e_human_intersection,-3.469446951953614e-18,0.4402175397023218,0.6899064938730928,1617.1895512217193,0.8725815395690839,17.189564972706876,0.8725815395690839,4758.83812116295,331.4050814199073,54.73791228610075,3.9786112595418253,145.26208771389923,2,5.832248582842963,2,True,2.7266996776610427e-14,143.6102128824941,0.1481855241697107,14.763359315433593,0.157186016846355,0.000999999999999987,-0.06199999999997626,False
95.0,50.0,45.0,False,True,True,blocked_by_current_surrogate_collision_geometry,ur10e_human_intersection,,ur10e_human_intersection,-3.469446951953614e-18,0.4402175397023218,0.6539753707203486,1618.205365505238,1.6020965080447631,18.20537925622557,1.6020965080447631,4379.862200140228,216.97905076472964,55.95670165136533,3.0519943263421827,144.04329834863466,2,5.6785685352455735,2,True,2.1791859227015896e-14,157.37430368193236,0.09087277267948089,23.29822011673132,0.17264729271863127,0.000999999999999987,-0.061999999999980904,False
95.0,60.0,35.0,False,True,True,blocked_by_current_surrogate_collision_geometry,ur10e_human_intersection,,ur10e_human_intersection,-3.469446951953614e-18,0.4402175397023218,0.6111543256171207,1619.057734895883,2.4950563693939785,19.05774864687055,2.4950563693939785,4083.421023073132,140.12818998271172,57.15694732911869,2.375976026072356,142.84305267088132,2,5.518240601746305,2,True,3.528235180052836e-16,148.20615559445255,0.1263524701509075,16.43565430410222,0.1849705846896284,0.000999999999999987,-0.06199999999999993,False
95.0,70.0,25.0,False,True,True,blocked_by_current_surrogate_collision_geometry,ur10e_human_intersection,,ur10e_human_intersection,-3.469446951953614e-18,0.4402175397023218,0.5627444543503762,1619.7207605810395,3.577359936231761,19.720774332027077,3.577359936231761,3878.9693550467605,84.486770206868,58.68057890990969,1.857467904319904,141.31942109009032,2,5.360572819106915,2,True,3.711994105825616e-16,142.78082118020822,0.14724034979287845,13.831100435523124,0.19905998652727067,0.000999999999999987,-0.062000000000000194,False
95.0,80.0,15.0,False,True,True,blocked_by_current_surrogate_collision_geometry,ur10e_human_intersection,,ur10e_human_intersection,-3.469446951953614e-18,0.4402175397023218,0.5102166663619786,1620.1742968607712,4.869152908494409,20.174310611758756,4.869152908494409,3761.014950321624,40.26422711739825,60.64139710553524,1.4321146122333217,139.35860289446475,2,5.212949526690845,2,True,6.677681459098722e-16,139.94731871171027,0.1585415973661249,12.609328501276071,0.2153815858525613,0.000999999999999987,-0.06200000000000001,False
95.0,85.0,10.0,False,True,True,blocked_by_current_surrogate_collision_geometry,ur10e_human_intersection,,ur10e_human_intersection,-3.469446951953614e-18,0.4402175397023218,0.48290373190926367,1620.3179385992041,5.59817579605866,20.317952350191717,5.59817579605866,3732.513581123129,20.360254615404052,61.79786967082114,1.239471788053371,138.20213032917886,2,5.144657389703344,2,True,8.580293281889736e-16,139.41202208843592,0.16096707815660602,12.315309252722885,0.22454737062123484,0.000999999999999987,-0.06200000000000063,False
95.0,90.0,5.0,False,True,True,blocked_by_current_surrogate_collision_geometry,ur10e_human_intersection,,ur10e_human_intersection,-3.469446951953614e-18,0.4402175397023218,0.4551669919096118,1620.4045632647187,6.384215756541133,20.40457701570631,6.384215756541133,3723.6806272675476,1.0535841326406326,63.07435819547898,1.0535841326407265,136.92564180452104,2,5.080735055595346,2,True,7.843151483339031e-16,139.45816795195952,0.161238015318815,12.202104036831809,0.2344853668797716,0.000999999999999987,-0.06200000000000045,False
95.0,95.0,0.0,False,True,True,blocked_by_current_surrogate_collision_geometry,ur10e_human_intersection,,ur10e_human_intersection,-3.469446951953614e-18,0.4402175397023218,0.4272175397023218,1620.4335115913052,7.227932055951801,20.433525342292796,7.227932055951801,3734.368119474978,18.250914729821755,64.47221433906296,0.8698680975289981,135.52778566093704,2,5.021556664502249,2,True,4.1358010881960636e-16,140.09695101535786,0.15927220344333903,12.272888722330704,0.24527249459050376,0.000999999999999987,-0.06200000000000014,False
95.0,100.0,-5.0,False,True,True,blocked_by_current_surrogate_collision_geometry,ur10e_human_intersection,,ur10e_human_intersection,-3.469446951953614e-18,0.40528900423877035,0.39229562807521917,1620.4045632647187,33.12954414909863,20.40457701570631,8.129545008535462,3814.7988114119894,34.522827020546586,65.99287117070129,0.6837406982042806,134.00712882929872,2,4.9673887235152465,2,True,4.091695731196621e-16,141.3525394973745,0.15492467880910588,12.551473148638319,0.2569794194916242,0.000999999999999987,-0.062000000000000055,False
