condition,seed,window_start,window_end,profile,minimum_cost,confidence_cost_threshold_95,lambda_at_minimum,truth_profile_cost,truth_in_region_95,lambda_region_lower_95,lambda_region_upper_95,lambda_region_width_95,boundary_hit,expansion_count,refinement_count,accepted_point_count,region_resolved,kappa_at_minimum,kappa_region_lower_95,kappa_region_upper_95,kappa_region_width_95,ridge_direction_lambda_kappa_json
parameter_mismatch_high_k,101,61,130,lambda_kappa_2d,0.00439788412197916,0.0045902181862063655,0.8335142263420724,0.005694547460628367,False,0.8300728300926696,0.8369556225914752,0.006882792498805523,False,0,2,1581,True,372.0018621612719,370.86481537362675,373.13890894891705,2.274093575290294,"[-0.00016554680804572007, -0.999999986297127]"
parameter_mismatch_high_k,101,71,140,lambda_1d,0.004680427338168264,0.004811665797166982,0.8339127745147767,0.004685046664928794,True,0.8308242539276851,0.837001293770817,0.006177039843131893,False,0,24,27,True,,,,,
parameter_mismatch_high_k,101,71,140,lambda_kappa_2d,0.004680427338168264,0.0048851179546788494,0.8339127745147767,0.008308208199333693,False,0.8301244807860458,0.8377010682435077,0.007576587457461814,False,0,2,1581,True,371.18563162578613,370.29251695794466,372.0787462936276,1.7862293356829468,"[-0.0002320089335489272, -0.999999973085927]"
parameter_mismatch_high_k,101,81,150,lambda_1d,0.004663789699590645,0.004794561641775717,0.8346022987931703,0.004682587514512177,True,0.8312553164548793,0.8379492760702905,0.0066939596154111936,False,0,24,22,True,,,,,
parameter_mismatch_high_k,101,81,150,lambda_kappa_2d,0.004663789699590645,0.0048677526969648395,0.8346022987931703,0.010846167560929904,False,0.8304969839285029,0.8387076136578376,0.008210629729334729,False,0,2,1585,True,370.9435690494645,370.21755657876156,371.6695815201674,1.4520249414058526,"[-0.00014752703475164834, -0.999999989117887]"
parameter_mismatch_high_k,101,91,160,lambda_1d,0.0037348575829792914,0.003839582412221424,0.8355858363195598,0.0037844747820816797,True,0.8323133775025764,0.838858295366726,0.006544917864149569,False,0,24,17,True,,,,,
parameter_mismatch_high_k,101,91,160,lambda_kappa_2d,0.0037348575829792914,0.003898195296825407,0.8355858363195598,0.01349690597164336,False,0.8315719307426912,0.8395997418964285,0.008027811153737296,False,0,2,1583,True,370.53813071229104,369.97031371760374,371.1059477069783,1.1356339893745826,"[-9.723497154670504e-05, 0.9999999952726802]"
parameter_mismatch_high_k,101,101,170,lambda_1d,0.0030169674615639405,0.0031015627627827137,0.8367078433900379,0.0031059790676345087,False,0.8334181137257746,0.8399975734924934,0.006579459766718809,False,0,24,22,True,,,,,
parameter_mismatch_high_k,101,101,170,lambda_kappa_2d,0.0030169674615639405,0.003148909458540135,0.8367078433900379,0.014038584844328548,False,0.8326727499403617,0.8407429368397141,0.00807018689935246,False,0,2,1581,True,370.5822958362129,370.10745921213487,371.0571324602909,0.9496732481560457,"[-0.00058106108513098, 0.9999998311839935]"
parameter_mismatch_high_k,101,111,180,lambda_1d,0.0011673971803500558,0.0012001308168150863,0.8386560609413627,0.0013343732435174278,False,0.8362993625288045,0.8410127606060216,0.004713398077217046,False,0,24,25,True,,,,,
