condition,seed,window_start,window_end,transitions,rank,raw_condition_number_H,physical_scale_condition_number_HS,column_normalized_geometric_condition_number,column_normalized_singular_values_json,physical_scaled_weighted_singular_values_json,weighted_residual_rms,physical_scaled_sigma_min_over_residual_rms,normalized_right_singular_directions_json,physical_right_singular_directions_json,normalized_weak_direction_json,physical_weak_direction_json,conditional_lambda_information_abs,conditional_lambda_information_ratio,corr_lambda_kappa,corr_lambda_beta,corr_kappa_beta,truth_lambda,truth_kappa,truth_beta
stronger_noise,102,71,140,70,3,255.07753425533474,23.47624465726406,4.080264966642204,"[1.5681714994324392, 0.6269991901333409, 0.3843308001448111]","[32.025119061493726, 3.7730154756234904, 1.2535086475935016]",0.08418773712683236,14.88944459577335,"[[0.5444896203261261, -0.5846965574572055, -0.6013825646415134], [0.8249473606287522, 0.5029221521786563, 0.25793635075274657], [-0.15163411736402463, 0.6365526251188358, -0.756179773536394]]","[[0.011856703566943246, -0.8729208654729574, -0.4877177269717276], [0.023041326326445326, 0.9630569807334893, 0.26831017338448787], [-0.002919411068148888, 0.8402385768160785, -0.5422090105015834]]","[-0.15163411736402463, 0.6365526251188358, -0.756179773536394]","[-0.002919411068148888, 0.8402385768160785, -0.5422090105015834]",11.693051911985323,0.4981804695559889,-0.6340565470738448,-0.7046559498027756,0.8446033069539801,0.8333333333333334,375.0,15.0
stronger_noise,102,81,150,70,3,203.62928129589946,26.994503000636843,3.919473743374683,"[1.5551333688112656, 0.6512549490766387, 0.3967709622854341]","[35.9101966682556, 3.632328369142661, 1.1822071399073746]",0.0830938448891101,14.227373176497567,"[[0.5437659283629802, -0.5796367104169574, -0.6069101243912105], [0.8077931131843442, 0.5575903170175202, 0.19121538813664246], [-0.22757175009981245, 0.5942342318524826, -0.7714251592028863]]","[[0.013814095470096596, -0.8234167817992156, -0.567268872949826], [0.025264447986836473, 0.9751653474612864, 0.22003239029431323], [-0.005207519719604069, 0.76036761219614, -0.6494720748896833]]","[-0.22757175009981245, 0.5942342318524826, -0.7714251592028863]","[-0.005207519719604069, 0.76036761219614, -0.6494720748896833]",9.922174095031613,0.5025796795783801,-0.5925120891894705,-0.7049766619237876,0.8238318496233327,0.8333333333333334,375.0,15.0
stronger_noise,102,91,160,70,3,176.1607873880585,31.984664290462216,3.9942284577125826,"[1.5314904699884477, 0.71240546910831, 0.3834258571342468]","[39.123857755237765, 3.5146542320592284, 1.0591552999796927]",0.08642195908301407,12.255627056108542,"[[0.5304316719569754, -0.5785821483684012, -0.6195844889717086], [0.8064068933716928, 0.5697803520993374, 0.1582980501590919], [-0.26143864233801173, 0.5836035023463797, -0.7688021776383679]]","[[0.01522565242347084, -0.7676227326155579, -0.6407210936750118], [0.029913339370104278, 0.9769098085054536, 0.2115476735243542], [-0.006761974675053831, 0.6976827481950107, -0.716374942728702]]","[-0.26143864233801173, 0.5836035023463797, -0.7688021776383679]","[-0.006761974675053831, 0.6976827481950107, -0.716374942728702]",8.61052476665145,0.5358522628476243,-0.5090563458721451,-0.6764941884762892,0.8206165712671628,0.8333333333333334,375.0,15.0
stronger_noise,102,101,170,70,3,183.3549852036437,45.29327489723164,4.561154496445064,"[1.503361135525896, 0.7945240521371177, 0.329601011475846]","[41.86502139678015, 3.1911835932331263, 0.8221761611226871]",0.08788610038756968,9.355019252156659,"[[0.4881367839218703, -0.5972952049986999, -0.6363653968185059], [0.8512571428863566, 0.48671246716634775, 0.19614344493202934], [-0.19257143315499917, 0.6374554199239412, -0.7460340680841737]]","[[0.015304784760105584, -0.6976567845068082, -0.7162686469440552], [0.04372235065060543, 0.9312843560133225, 0.36165979082341565], [-0.005379905394065742, 0.6634370130132186, -0.7482127948532082]]","[-0.19257143315499917, 0.6374554199239412, -0.7460340680841737]","[-0.005379905394065742, 0.6634370130132186, -0.7482127948532082]",7.511638301892302,0.6270801968990678,-0.41074742919970814,-0.581051559491983,0.8676581066420741,0.8333333333333334,375.0,15.0
stronger_noise,102,111,180,70,3,145.62335853298097,48.62550967110101,4.1396840587723025,"[1.4573415915003234, 0.8673073831532223, 0.3520417429953638]","[44.2846368226737, 2.8439990696486945, 0.8015564007790893]",0.08703023180857773,9.210091529367702,"[[0.45021901222592414, -0.6055639709163618, -0.6561974688752777], [0.8655417090064577, 0.4765490849789695, 0.15407309815761963], [-0.21940918622631486, 0.6373329167191311, -0.7386923326160841]]","[[0.015910114598520007, -0.635646208142527, -0.7718165367025309], [0.057395696204303646, 0.9386526768161614, 0.34005424032509635], [-0.007070669559224587, 0.61006771066043, -0.7923177355338742]]","[-0.21940918622631486, 0.6373329167191311, -0.7386923326160841]","[-0.007070669559224587, 0.61006771066043, -0.7923177355338742]",5.76565595799979,0.6757629133562337,-0.2860963981890134,-0.5070523919412121,0.8408348632216481,0.8333333333333334,375.0,15.0
stronger_noise,102,121,190,70,3,138.76633692585173,64.01074070167124,3.993769447959559,"[1.3989230270945885, 0.9593335371530313, 0.350276360546878]","[46.21520717286902, 2.248574126312506, 0.6864998907042873]",0.08420050656441654,8.153156301727106,"[[0.2988621324862198, -0.6623695027310166, -0.6869847652005502], [0.9457751234371979, 0.30157321507866663, 0.12067730455420929], [-0.1272432381431018, 0.6857989776887848, -0.7165814123655982]]","[[0.011602514027808356, -0.5646878079234203, -0.8252230372759095], [0.12345006949932177, 0.8644165831016113, 0.4873849107220573], [-0.004747272600290857, 0.5618665311179775, -0.8272142797439546]]","[-0.1272432381431018, 0.6857989776887848, -0.7165814123655982]","[-0.004747272600290857, 0.5618665311179775, -0.8272142797439546]",4.421143012314886,0.8699162239664068,-0.13561164477430915,-0.285569287819102,0.8637002512601732,0.8333333333333334,375.0,15.0
stronger_noise,102,131,200,70,3,106.64890190580613,69.15984664995501,3.6245739134790878,"[1.3611560461236663, 1.0031088342930155, 0.37553546392357756]","[47.72418050033824, 1.6292267776640839, 0.6788883031816846]",0.08585100733055506,7.907749999574703,"[[-0.0012129616081848933, -0.7071430447426227, -0.7070694753673575], [-0.996393259572113, -0.05913811536538795, 0.06085355856718479], [0.08484692689424171, -0.7045930723354886, 0.704520831071332]]","[[-5.937388203602204e-05, -0.5306656585898067, -0.8475812381525377], [-0.495993769732605, -0.4513134118894743, 0.74182638442908], [0.004168205956824117, -0.5306604745255631, 0.8475742367695032]]","[0.08484692689424171, -0.7045930723354886, 0.704520831071332]","[0.004168205956824117, -0.5306604745255631, 0.8475742367695032]",2.546030529372243,0.9636667735261085,0.05244998556067461,-0.050992576892623404,0.8527445318883266,0.8333333333333334,375.0,15.0
stronger_noise,102,141,210,70,3,77.31110650850297,73.34920693257224,3.4270882245450065,"[1.4175456718306547, 0.905248414439054, 0.41362975766953114]","[49.0880867008866, 1.0640651573139213, 0.666695372363406]",0.08687584690801936,7.6741165248066725,"[[0.38962794439138915, 0.6527058847916783, 0.6497423280867985], [0.9208696866338106, -0.26557035316328165, -0.28543196695478484], [0.013750825003908066, -0.7095402846061964, 0.7045306943864617]]","[[0.028128865801240775, 0.4825723818440439, 0.8754042855675896], [0.15217385663200508, -0.4494322908006566, -0.8802577652843603], [0.0009153491344548369, -0.4837020063672677, 0.8752322726980772]]","[0.013750825003908066, -0.7095402846061964, 0.7045306943864617]","[0.0009153491344548369, -0.4837020063672677, 0.8752322726980772]",1.1223244561748849,0.899714106417204,0.30894805079331783,0.29496640439628224,0.8287744620974976,0.8333333333333334,375.0,15.0
stronger_noise,102,151,220,70,3,53.58907782297446,74.32962501135962,3.5578817604604045,"[1.4906247419763654, 0.77621321724291, 0.41896410345673557]","[49.970664850819624, 0.7509307951877057, 0.6501934737396103]",0.08832014534088355,7.361779934012797,"[[-0.4959094374605476, -0.61788544544058, -0.6101568701164148], [0.867330715468766, -0.3180003354771223, -0.38290105332954644], [-0.04255889850550321, 0.7190920406659596, -0.6936103929504404]]","[[-0.04995256010078844, -0.475619027337421, -0.8782319070575736], [0.14337728160866497, -0.4017159456066423, -0.9044707038726411], [-0.003755389927613992, 0.4848919978476779, -0.8745659766248508]]","[-0.04255889850550321, 0.7190920406659596, -0.6936103929504404]","[-0.003755389927613992, 0.4848919978476779, -0.8745659766248508]",0.525556465980574,0.7301654342031408,0.5092927903347575,0.47741484177078974,0.8235087288853868,0.8333333333333334,375.0,15.0
stronger_noise,102,161,230,70,3,35.292666833504946,78.65548129200474,3.4935506685604905,"[1.5243070157066316, 0.6972178516639018, 0.43632028280692403]","[51.068157221961684, 0.6612982406849852, 0.49330720175966264]",0.08139375559699215,6.060749969594626,"[[-0.5302262804275535, -0.605994480000478, -0.5929846387158032], [0.8424971881685358, -0.2980664357532596, -0.4487258492726476], [-0.09517656997429712, 0.7375141287367302, -0.6685913029958059]]","[[-0.06898736662410591, -0.44357458445722076, -0.8935783856326625], [0.15247300917584608, -0.3034780285052776, -0.9405599755929508], [-0.01083319099647638, 0.4722656555141055, -0.8813896939462511]]","[-0.09517656997429712, 0.7375141287367302, -0.6685913029958059]","[-0.01083319099647638, 0.4722656555141055, -0.8813896939462511]",0.2501764164598208,0.613971989094843,0.6111414411663556,0.5588887447661952,0.80608772637642,0.8333333333333334,375.0,15.0
