solver,filter,condition,target_reached,final_theta_deg,T_reach,max_abs_F_rad,max_abs_delta_r,max_abs_omega,max_abs_alpha_step,max_abs_F_tan,feasible_mpc_decisions,total_mpc_decisions,feasible_mpc_decision_ratio,mean_feasible_count,omega_violation_count,alpha_violation_count,max_omega_violation_severity,max_alpha_violation_severity,rms_raw_theta,rms_raw_omega,rms_raw_r,rms_raw_r_dot,rms_filt_theta,rms_filt_omega,rms_filt_r,rms_filt_r_dot,rms_reduction_theta,rms_reduction_omega,rms_reduction_r,rms_reduction_r_dot,rms_reduction_ratio_theta,rms_reduction_ratio_omega,rms_reduction_ratio_r,rms_reduction_ratio_r_dot,mean_innovation_norm,max_covariance_trace,ukf_failure_count,done_reason,runtime_s
cem,ukf_bias,noise,True,90.21661702349557,1.8000000000000014,0.9510645018644888,0.011180485887213543,1.6432304871765282,10.694412413161114,7.839009270319567,0,60,0.0,0.0,16,66,0.44323048717652824,7.694412413161114,0.003980517239932036,0.03531414186367552,0.0008326801151392483,0.003923154638108249,0.013155256682231992,0.031172480681154014,0.004258899897734707,0.00655410866021021,-0.009174739442299955,0.004141661182521506,-0.0034262197825954584,-0.0026309540221019605,-2.304911369371837,0.11728052740201682,-4.114689086843986,-0.6706220541361607,0.04327613675699076,0.0732,0,target_reached,28.48129666701425
cem,ukf_bias,noise_bias,True,90.01365991496137,2.1899999999999973,0.9735819568672014,0.011203126888190473,1.649583390267675,10.789745762859031,8.23122992641531,0,73,0.0,0.0,22,90,0.44958339026767513,7.789745762859031,0.010550832161913371,0.03695315186726175,0.0016717146098193744,0.004644999447227194,0.007270342073692134,0.025704377134933364,0.003589511432085136,0.004664360880681004,0.0032804900882212372,0.011248774732328388,-0.0019177968222657616,-1.936143345381003e-05,0.3109224028852647,0.3044063676282542,-1.1472034825806636,-0.004168231594810571,0.038332463325926824,0.0732,0,target_reached,34.95335804205388
cem,oracle,clean,True,90.07009804455394,2.0400000000000005,0.8111186805543643,0.011669650259969355,1.596524798242823,11.071127403206015,8.066946866492385,0,68,0.0,0.0,16,76,0.39652479824282305,8.071127403206015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,target_reached,32.07051162503194
cem,oracle,noise,True,90.07009804455394,2.0400000000000005,0.8111186805543643,0.011669650259969355,1.596524798242823,11.071127403206015,8.066946866492385,0,68,0.0,0.0,16,76,0.39652479824282305,8.071127403206015,0.003947992769908563,0.03517625238464332,0.0008179205615732676,0.003980262764489595,0.0,0.0,0.0,0.0,0.003947992769908563,0.03517625238464332,0.0008179205615732676,0.003980262764489595,1.0,1.0,1.0,1.0,nan,nan,0,target_reached,31.98587541701272
cem,oracle,noise_bias,True,90.07009804455394,2.0400000000000005,0.8111186805543643,0.011669650259969355,1.596524798242823,11.071127403206015,8.066946866492385,0,68,0.0,0.0,16,76,0.39652479824282305,8.071127403206015,0.01054037919782514,0.035963052786352076,0.0016775167412704192,0.004633122568058117,0.0,0.0,0.0,0.0,0.01054037919782514,0.035963052786352076,0.0016775167412704192,0.004633122568058117,1.0,1.0,1.0,1.0,nan,nan,0,target_reached,32.06802545802202
cem_feasibility_first,raw,clean,False,89.58037381647786,nan,0.7805169958601217,0.01167823785565475,1.6216250531951866,12.544279255803081,8.639502551479548,148,267,0.5543071161048689,0.5543071161048689,21,100,0.4216250531951866,9.544279255803081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,max_time,125.77525883400813
cem_feasibility_first,raw,noise,True,90.1962785279513,1.370000000000001,0.8726509830526142,0.011112076730828424,3.391608582722393,58.480748913151956,11.085969145544896,0,46,0.0,0.0,54,95,2.1916085827223935,55.480748913151956,0.004204262585533802,0.035554260415773004,0.0008476142208850463,0.003772137309421396,0.004204262585533802,0.035554260415773004,0.0008476142208850463,0.003772137309421396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0,target_reached,21.716433833003975
cem_feasibility_first,raw,noise_bias,True,90.3651980029418,3.45999999999997,0.7158490352647551,0.01191851495663393,1.833952680394364,53.213710777834265,8.696024940656903,18,116,0.15517241379310345,0.15517241379310345,66,110,0.633952680394364,50.213710777834265,0.010614652229277087,0.0368065133786823,0.0017070713105931815,0.004569523455818319,0.010614652229277087,0.0368065133786823,0.0017070713105931815,0.004569523455818319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0,target_reached,54.9758251250023
cem_feasibility_first,ukf,clean,False,89.580373795126,nan,0.780516748693215,0.01167823785566724,1.621625861116053,12.544293452056488,8.639503799767716,148,267,0.5543071161048689,0.5543071161048689,21,100,0.42162586111605305,9.544293452056488,0.0,0.0,0.0,0.0,7.300605801973518e-08,1.4560366182761493e-07,5.095145488277025e-08,6.981728616767339e-08,-7.300605801973518e-08,-1.4560366182761493e-07,-5.095145488277025e-08,-6.981728616767339e-08,nan,nan,nan,nan,0.0016101026338456504,0.07100000000000001,0,max_time,126.84351575002074
cem_feasibility_first,ukf,noise,True,90.48889632112831,4.379999999999951,0.8319210468175462,0.011707347239588328,1.7681486636442008,47.06942844154012,8.404385788612736,65,146,0.4452054794520548,0.4452054794520548,29,106,0.5681486636442008,44.06942844154012,0.0037733487185889624,0.03485436500298157,0.0008613851048619747,0.00409779775711526,0.0015549001990697092,0.02542228394368321,0.000975197985445974,0.003381328398529049,0.002218448519519253,0.009432081059298363,-0.0001138128805839993,0.0007164693585862106,0.5879256556888912,0.2706140553268295,-0.13212775556670006,0.1748425376391894,0.038078064580337294,0.07100000000000001,0,target_reached,69.83138175006025
