condition,seed,window_start,window_end,single_success,multiple_success,state_max_abs_difference,inverse_mass_abs_difference,alpha_prediction_rmse_difference,single_objective,multiple_objective,objective_abs_difference,multiple_process_rms_raw,equivalent
noise_bias,102,0,70,True,True,1.6653345369377348e-16,0.0,8.528197822576673e-15,0.012999966205579808,0.012999966205579935,1.2663481374630692e-16,9.57869080367104e-17,True
noise_bias,102,10,80,True,True,2.220446049250313e-16,0.0,1.0564150661826385e-14,0.012159686011182823,0.012159686011182981,1.5785983631388945e-16,1.0399573336789845e-16,True
noise_bias,103,0,70,True,True,2.220446049250313e-16,0.0,9.800913325427235e-15,0.01115329745873724,0.011153297458737428,1.8735013540549517e-16,1.1235281272097715e-16,True
noise_bias,103,10,80,True,True,1.1102230246251565e-16,0.0,7.691118153433396e-15,0.010928080610417421,0.010928080610417508,8.673617379884035e-17,7.22487789819274e-17,True
stronger_noise,101,0,70,True,True,1.734723475976807e-16,0.0,1.1098423114546923e-14,0.02130658001900946,0.021306580019009626,1.6653345369377348e-16,1.2349471082530677e-16,True
stronger_noise,101,10,80,True,True,1.1102230246251565e-16,0.0,9.317259535893404e-15,0.021945729298040815,0.02194572929804095,1.3530843112619095e-16,9.615726136934368e-17,True
stronger_noise,102,0,70,True,True,1.6653345369377348e-16,0.0,9.238306006178086e-15,0.022646513489177244,0.022646513489177355,1.1102230246251565e-16,9.413792112886144e-17,True
stronger_noise,102,10,80,True,True,2.220446049250313e-16,0.0,7.802946564034844e-15,0.020733881070582598,0.02073388107058273,1.3183898417423734e-16,9.543507066316998e-17,True
stronger_noise,103,0,70,True,True,1.942890293094024e-16,0.0,1.0742920945154257e-14,0.01699917290550037,0.01699917290550051,1.4224732503009818e-16,1.1710115316007937e-16,True
stronger_noise,103,10,80,True,True,1.942890293094024e-16,1.1102230246251565e-16,1.2118719473159946e-14,0.017070213978947594,0.01707021397894782,2.255140518769849e-16,1.3693364133344792e-16,True
mass_mismatch,101,0,70,True,True,2.220446049250313e-16,0.0,6.476267745729459e-15,0.002176948940687451,0.0021769489406876334,1.8257964584655895e-16,1.120280869425084e-16,True
mass_mismatch,101,10,80,True,True,2.220446049250313e-16,0.0,5.2198364145113384e-15,0.002605806078650004,0.00260580607865012,1.1579279202145187e-16,9.235589147070535e-17,True
mass_mismatch,102,0,70,True,True,2.220446049250313e-16,0.0,6.476267745729459e-15,0.002176948940687451,0.0021769489406876334,1.8257964584655895e-16,1.120280869425084e-16,True
mass_mismatch,102,10,80,True,True,2.220446049250313e-16,0.0,5.2198364145113384e-15,0.002605806078650004,0.00260580607865012,1.1579279202145187e-16,9.235589147070535e-17,True
mass_mismatch,103,0,70,True,True,2.220446049250313e-16,0.0,6.476267745729459e-15,0.002176948940687451,0.0021769489406876334,1.8257964584655895e-16,1.120280869425084e-16,True
mass_mismatch,103,10,80,True,True,2.220446049250313e-16,0.0,5.2198364145113384e-15,0.002605806078650004,0.00260580607865012,1.1579279202145187e-16,9.235589147070535e-17,True
parameter_mismatch_low_k,101,0,70,True,True,1.1102230246251565e-16,0.0,6.832544286488684e-15,0.0005093569707821066,0.0005093569707822175,1.109138822452671e-16,8.612166944985238e-17,True
parameter_mismatch_low_k,101,10,80,True,True,1.1102230246251565e-16,0.0,4.435496308660044e-15,0.0007901791254377261,0.000790179125437807,8.088148206741863e-17,7.359253607118973e-17,True
parameter_mismatch_low_k,102,0,70,True,True,1.1102230246251565e-16,0.0,6.832544286488684e-15,0.0005093569707821066,0.0005093569707822175,1.109138822452671e-16,8.612166944985238e-17,True
