condition,seed,window_start,window_end,phase,optimizer_success,optimizer_cost,inverse_mass,state_rmse_to_true,state_minus_measurement_rms,measurement_minus_true_rms,measurement_cost,process_cost,arrival_cost,inverse_mass_prior_cost,total_cost,measurement_residual_rms,process_residual_rms_weighted,process_residual_rms_raw,state_bound_hit_count,parameter_bound_hit
noise,103,0,70,before,False,0.004348159869898788,1.0526315789473684,0.020514791440860606,0.016570266544768186,0.016204072585342,0.004770404104482583,460.01999706277473,0.0,0.0,460.0247674668792,0.005796067209926918,1.8126933336549131,0.055983768735383285,0,0
noise,103,0,70,after,False,0.004348159869898788,0.8339654766525384,0.003953412574970751,0.015469931545324446,0.016204072585342,0.004320081221081084,1.4167209404068097e-06,2.7544957308906725e-06,2.390743214640652e-05,0.004348159869898788,0.0055157145675525905,0.00010059540391399633,2.4245943213384215e-06,0,0
noise,103,10,80,before,False,0.004358501104874499,1.0526315789473684,0.016576140622044086,0.013890915337405737,0.01575056383161041,0.004238829235897601,493.13777883855283,2.3509887016445742e-39,0.0,493.1420176677887,0.005463598641184667,1.8768091820932844,0.058246378620103845,0,0
noise,103,10,80,after,False,0.004358501104874499,0.8336191910808366,0.0026833378323224007,0.015440704509359,0.01575056383161041,0.004330224078162375,1.4266163759992291e-06,2.86719731662614e-06,2.398321301950007e-05,0.0043585011048745004,0.005522185777543785,0.00010094610924361108,2.4703209160418315e-06,0,0
noise_bias,101,0,70,before,False,0.010865969010456812,1.0526315789473684,0.01824693753951703,0.019263195619530115,0.02200347735589584,0.013105468745095881,473.6713823861712,0.0,0.0,473.6844878549163,0.009606874279190302,1.8393931110679087,0.0563433075221225,0,0
noise_bias,101,0,70,after,False,0.010865969010456812,0.8334208880636659,0.007795638729098294,0.01941546614292636,0.02200347735589584,0.010821978640473906,7.042149092219951e-06,1.292155739183355e-05,2.402666349885508e-05,0.010865969010456814,0.0087298978909513,0.0002242789890837486,2.4078055156585586e-06,0,0
noise_bias,101,10,80,before,False,0.01072666049444098,1.0526315789473684,0.015578128289118656,0.017420925531679,0.02233481810560707,0.012759422417840281,508.786961395718,3.7615819226313187e-38,0.0,508.7997208181358,0.009479192341628029,1.9063558380842713,0.05902051619269502,0,0
noise_bias,101,10,80,after,False,0.01072666049444098,0.8342681759678012,0.00785997713152205,0.01998387001364914,0.02233481810560707,0.010679074945468655,5.5335995441748385e-06,1.821066154774147e-05,2.3841287880408413e-05,0.01072666049444098,0.008672067408473209,0.0001988107417365075,2.229414193802626e-06,0,0
noise_bias,102,0,70,before,False,0.012991904780863164,1.0526315789473684,0.014957658408730413,0.019314789171389,0.021977080409963684,0.016539767070702226,495.35876651552724,0.0,0.0,495.37530628259793,0.010792461855029611,1.8810308088073247,0.057665991459773525,0,0
noise_bias,102,0,70,after,False,0.012991904780863164,0.8331808363643692,0.00785721884304779,0.01929623951577719,0.021977080409963684,0.012945013595189523,8.297362646106318e-06,1.4514508817418556e-05,2.407931421011487e-05,0.012991904780863163,0.00954788288427111,0.00024344789184467495,2.420576685662416e-06,0,0
noise_bias,102,10,80,before,False,0.012162100658751894,1.0526315789473684,0.012163716581573393,0.01644809463775576,0.02140087525731193,0.01661622641996525,506.7160069205165,0.0,0.0,506.7326231469365,0.010817378564783604,1.9024720890021647,0.05893543312814405,0,0
noise_bias,102,10,80,after,False,0.012162100658751894,0.8335264837010156,0.008259549343576398,0.01814731332747881,0.02140087525731193,0.012117637329023833,6.94056414930921e-06,1.3519244197296426e-05,2.4003521381456665e-05,0.012162100658751895,0.009237720181303132,0.0002226554697494573,2.259520560596283e-06,0,0
noise_bias,103,0,70,before,False,0.011146864770627062,1.0526315789473684,0.01635771538957892,0.01754892659459585,0.0185139542622435,0.01307328533551819,465.36024241792467,3.851859888774471e-33,0.0,465.3733157032602,0.009595071114210034,1.8231845028840619,0.05612858252671184,0,0
noise_bias,103,0,70,after,False,0.011146864770627062,0.8343165318482259,0.007255517673229927,0.01583088331948304,0.0185139542622435,0.011103637498129397,6.5760978088227995e-06,1.282044479389427e-05,2.3830729894950402e-05,0.011146864770627065,0.00884277277037677,0.0002167305405471899,2.0678837417496694e-06,0,0
noise_bias,103,10,80,before,False,0.010922099018215578,1.0526315789473684,0.012876677137838079,0.015253452729284684,0.018337878491831397,0.012441618612318498,493.61878683511395,0.0,0.0,493.6312284537263,0.009360397025827279,1.8777242815157051,0.05836110348569033,0,0
noise_bias,103,10,80,after,False,0.010922099018215578,0.8340719389047536,0.007079326824636237,0.01620293921296224,0.018337878491831397,0.010879378590448742,6.59956679222675e-06,1.223670284682593e-05,2.3884158127778663e-05,0.010922099018215574,0.008753019032668601,0.00021711693347507385,3.8769467284958575e-06,0,0
stronger_noise,101,0,70,before,False,0.021299889917378363,1.0526315789473684,0.0317499549452148,0.025834820607761145,0.03787067203661632,0.02070340102231116,598.2057209244963,0.0,0.0,598.2264243255186,0.0120747090544108,2.067098934885204,0.060391379913202016,0,0
stronger_noise,101,0,70,after,False,0.021299889917378363,0.8326556345192357,0.003078506802455343,0.03774199761531682,0.03787067203661632,0.021255571929648238,6.92158097206078e-06,1.3201698694539216e-05,2.4194708063524445e-05,0.021299889917378367,0.012234669029652107,0.00022235076812583405,5.083558639919429e-06,0,0
stronger_noise,101,10,80,before,False,0.021929725027577007,1.0526315789473684,0.02929149509473306,0.02562317398296801,0.03930331074627334,0.023887761853948627,650.7350087219078,0.0,0.0,650.7588964837618,0.012970106978271506,2.155946939318425,0.06363087497129226,0,0
