mode,attempt_index,wall_time_s,reference_phase_s,accepted,reason,rank,rrqr_rank,condition_number,candidate_residual_rms_nms,old_residual_rms_nms,beta_a_inertia_combination,beta_b_distal_inertia_combination,beta_d_mass_length_com_combination,beta_g1_proximal_gravity_combination,beta_g2_distal_gravity_combination,beta_k1_passive_stiffness,beta_k2_passive_stiffness,beta_rho1_stiffness_rest_combination,beta_rho2_stiffness_rest_combination,beta_bv1_viscous_damping,beta_bv2_viscous_damping,bound_hit_components,unconstrained_bound_pressure,distance_to_prior_span_normalized_l2,distance_to_true_span_normalized_l2,generalized_torque_prediction_combined_rmse_nm
cem_plus_smooth_local_refinement,5,8.980000000000462,4.490000000000231,False,bound_hit,11,11,10507.869819731934,0.01293238199186042,2.227164463572138,0.7254087384073513,0.15807153760531606,0.16939379999224874,41.930622793636864,5.928133597560912,12.690281574823228,13.377459253482927,2.139212368295071,5.235987755982989,6.806911457123613,2.5000000000000004,a_inertia_combination:lower;d_mass_length_com_combination:lower;rho2_stiffness_rest_combination:upper;bv2_viscous_damping:lower,a_inertia_combination:lower:0.108418407237:0.074729184732;g2_distal_gravity_combination:lower:0.260401090289:0.0342301225194;rho2_stiffness_rest_combination:upper:2.56675717735:0.490214510991;bv2_viscous_damping:lower:1.82431010787:0.364862021573,1.3259494816760364,1.4173230132046086,0.21288699970016822
cem_plus_smooth_local_refinement,6,9.480000000000185,4.740000000000093,False,bound_hit,11,11,9510.457921382706,0.012966611228103017,2.266520251392329,0.7254087384073513,0.15538478492734165,0.16939379787233888,41.93931976241396,5.91430796854513,12.668348814684666,13.347122445275428,2.043659327198883,5.2359877559829835,7.183109774623485,2.5000000000000004,a_inertia_combination:lower;d_mass_length_com_combination:lower;rho2_stiffness_rest_combination:upper;bv2_viscous_damping:lower,a_inertia_combination:lower:0.181010156625:0.124764251546;g2_distal_gravity_combination:lower:0.317207442373:0.0416974045864;rho2_stiffness_rest_combination:upper:2.50323259338:0.478082209135;bv2_viscous_damping:lower:0.840623971632:0.168124794326,1.3451364764151905,1.436392773102123,0.161615879744486
cem_plus_smooth_local_refinement,7,9.979999999999908,4.989999999999954,False,bound_hit,11,11,7957.759323783219,0.013315226512117247,2.2916593597585506,0.7254087384073513,0.1842728870111698,0.16939379786890518,41.90154251298838,5.918465082538489,12.636045689899031,13.237280557373783,1.9552870421213147,5.235987755976278,7.499999999999995,2.5000010133541,a_inertia_combination:lower;d_mass_length_com_combination:lower;rho2_stiffness_rest_combination:upper;bv1_viscous_damping:upper,a_inertia_combination:lower:0.377819138604:0.260418105407;g2_distal_gravity_combination:lower:0.0398392136326:0.00523692570644;rho2_stiffness_rest_combination:upper:2.13675107403:0.408089394707,1.343972635243335,1.4207884730786757,0.13386101999831534
cem_plus_smooth_local_refinement,8,10.479999999999631,5.2399999999998155,False,bound_hit,11,11,5935.634591459979,0.014073621812634761,2.3084854912274717,0.7254087384073513,0.175710132662163,0.16939379786400002,42.6746989402224,5.848206256652093,12.792907619320756,12.595508009342254,2.6264655368674634,5.235987755982807,7.499999999999998,3.6818473549318407,a_inertia_combination:lower;d_mass_length_com_combination:lower;rho2_stiffness_rest_combination:upper;bv1_viscous_damping:upper,a_inertia_combination:lower:0.434696147794:0.299621526995;d_mass_length_com_combination:lower:0.0503035422545:0.148481062733;g2_distal_gravity_combination:lower:0.00651899735396:0.000856932195953;rho2_stiffness_rest_combination:upper:2.01724961787:0.385266297761,1.3123184201750502,1.4054284882281938,0.1153553495962098
cem_plus_smooth_local_refinement,9,10.979999999999354,5.489999999999677,False,bound_hit,11,11,4371.294040022404,0.014540068947078225,2.3206115945649524,0.7254087384163674,0.1554981011218016,0.16939379786414205,43.01974937371429,5.795235760468829,12.859606466791469,12.067688116907997,2.890357244075246,5.235987755982989,7.499999999999788,4.814411375422469,a_inertia_combination:lower;d_mass_length_com_combination:lower;rho2_stiffness_rest_combination:upper;bv1_viscous_damping:upper,a_inertia_combination:lower:0.390211843426:0.268959982673;d_mass_length_com_combination:lower:0.0840550677402:0.248105505633;g2_distal_gravity_combination:lower:0.638496209301:0.0839313055422;rho2_stiffness_rest_combination:upper:2.5931141461:0.495248321223,1.3148405466611472,1.425329404757215,0.10340352677891047
cem_plus_smooth_local_refinement,10,11.479999999999077,5.739999999999538,False,bound_hit,11,11,3656.104548730833,0.01465712870441913,2.329674052513563,0.7254087384074497,0.1339760672625979,0.16939379786400002,43.16932601359863,5.774830737491021,12.88680320372291,11.774606746948953,2.9952947456901415,5.235987755982175,7.4999999999999805,5.540702156083074,a_inertia_combination:lower;d_mass_length_com_combination:lower;rho2_stiffness_rest_combination:upper;bv1_viscous_damping:upper,a_inertia_combination:lower:0.299833464961:0.20666518687;d_mass_length_com_combination:lower:0.082644669267:0.243942429738;g2_distal_gravity_combination:lower:1.73302284063:0.227808509165;rho2_stiffness_rest_combination:upper:3.66886368786:0.700701349745,1.3472552155369268,1.4697790976900325,0.09638543457528291
cem_plus_smooth_local_refinement,11,11.9799999999988,5.9899999999994,False,bound_hit,11,11,3589.8152715305287,0.01447855601376707,2.336370135304449,0.7254087384074682,0.11329612319130812,0.16939379786400788,43.35401814644452,5.775266187247463,12.921324187285702,11.646531557518864,3.1621343429075366,5.235987755982777,7.499999999967402,5.921692941215095,a_inertia_combination:lower;d_mass_length_com_combination:lower;rho2_stiffness_rest_combination:upper;bv1_viscous_damping:upper,a_inertia_combination:lower:0.359283316829:0.247641982931;d_mass_length_com_combination:lower:0.109520369578:0.323271486201;g2_distal_gravity_combination:lower:1.6096826101:0.211595246779;rho2_stiffness_rest_combination:upper:3.56237250154:0.680363031305,1.3984698897192505,1.5289536246214577,0.09280121287312339
cem_plus_smooth_local_refinement,12,12.479999999998522,6.239999999999261,False,bound_hit,11,11,3589.716856876893,0.014162351034011207,2.3414608566843946,0.7254087384073514,0.09934127986564592,0.16939379786400002,43.54077897049924,5.786639914693874,12.955819663613065,11.61939015039041,3.3459341967617333,5.235987755982957,7.499999999999609,6.047984649013127,a_inertia_combination:lower;d_mass_length_com_combination:lower;rho2_stiffness_rest_combination:upper;bv1_viscous_damping:upper,a_inertia_combination:lower:0.471487261432:0.324980412055;d_mass_length_com_combination:lower:0.140628438657:0.415093233726;g2_distal_gravity_combination:lower:0.65862897728:0.086577788757;rho2_stiffness_rest_combination:upper:2.63766448515:0.503756809236,1.4425400304547167,1.5769460846794763,0.09139253276519975
cem_plus_smooth_local_refinement,13,12.979999999998245,6.489999999999123,False,bound_hit,11,11,3472.370935474777,0.013879346355097804,2.3454898048594104,0.7254087384073513,0.09934042046016524,0.16939379786400002,43.69092958908858,5.801102222861526,12.981285727838433,11.637291030645017,3.498459392216834,5.235987755982979,7.499999999999903,6.033414804603645,a_inertia_combination:lower;b_distal_inertia_combination:lower;d_mass_length_com_combination:lower;rho2_stiffness_rest_combination:upper;bv1_viscous_damping:upper,a_inertia_combination:lower:0.571290216102:0.393771253264;d_mass_length_com_combination:lower:0.163057221346:0.481296314866;rho2_stiffness_rest_combination:upper:1.7092866807:0.326449709274,1.4576179635714726,1.5911182682253782,0.0913090197533262
cem_plus_smooth_local_refinement,14,13.479999999997968,6.739999999998984,False,bound_hit,11,11,3204.744498939188,0.013946111388507529,2.3484022787976713,0.7254087384073513,0.09934042046004002,0.16939379786400002,43.729668359854664,5.814583209881665,12.970927282763451,11.667100695776401,3.5372667110312195,5.235987751377906,7.5,5.970203002730138,a_inertia_combination:lower;b_distal_inertia_combination:lower;d_mass_length_com_combination:lower;rho2_stiffness_rest_combination:upper;bv1_viscous_damping:upper,a_inertia_combination:lower:0.704757242669:0.485765614167;d_mass_length_com_combination:lower:0.200416936919:0.591571059408;rho2_stiffness_rest_combination:upper:0.669574257003:0.127879263323,1.459675375510053,1.5929355994093735,0.0910797811896082
