method,condition,base_condition,condition_seed,true_param_overrides,mpc_overrides,solver_safety_mode,runtime_filter_enabled,alpha_constraint_mode,alpha_soft_weight,omega_soft_weight,target_reached,final_theta_deg,T_reach,done_reason,alpha_violation_count,alpha_mean_severity,alpha_max_severity,alpha_p90_severity,alpha_p95_severity,alpha_p99_severity,omega_violation_count,omega_mean_severity,omega_max_severity,omega_p90_severity,omega_p95_severity,omega_p99_severity,delta_r_violation_count,delta_r_mean_severity,delta_r_max_severity,delta_r_p95_severity,F_tan_violation_count,F_rad_violation_count,mean_feasible_ratio_excluding_alpha,original_alpha_feasibility_ratio,mean_action_magnitude,max_action_magnitude,action_smoothness,mean_action_diff_vs_baseline,max_action_diff_vs_baseline,selected_predicted_horizon_alpha_violation_mean,selected_predicted_horizon_alpha_violation_max,executed_true_alpha_violation_mean,executed_true_alpha_violation_max,selected_predicted_horizon_omega_violation_mean,selected_predicted_horizon_omega_violation_max,executed_true_omega_violation_mean,executed_true_omega_violation_max,runtime_s
runtime_filter_old,noise_bias,noise_bias,203,{},{},off,True,soft,1.0,0.0,False,2.3895255720242394,nan,max_time,214,0.5509964136534259,32.26091726811814,1.7103209625858156,2.2367335619043422,5.344483302718075,49,0.01945672543081615,0.4961340256294331,0.0,0.25470878680313735,0.4121557454035982,0,0.0,0.0,0.0,0,0,0.003238139825218477,0.0,5.362417371514482,7.320875907517565,0.20824513877795803,2.3546307752376174,5.491598404192923,28.387268288630878,100.48622102967742,0.1836654712178086,10.753639089372713,3.130189025997097,8.98560760968099,0.01621393785901346,0.41344502135786093,119.25029174995143
runtime_filter_old,model_mismatch_light,clean,204,"{'m': 1.32, 'k': 495.0, 'b_r': 14.4}",{},off,True,soft,1.0,0.0,False,-89.9671781998308,nan,max_time,157,0.38063506903829447,9.671466691903543,1.255463012367441,2.7581479009442114,7.533328510570912,65,0.01211291952663054,0.3596689174859413,0.0,0.10595734863658798,0.3049793955126247,0,0.0,0.0,0.0,0,0,0.0003218632958801498,0.0,0.7723023184172636,7.373765079424606,0.04856933697929123,1.659829330649954,3.3036652908189117,30.79381136128189,52.258701610609364,0.12687835634609818,3.2238222306345143,3.0420717125830237,7.901166851169701,0.01009409960552545,0.29972409790495114,61.92856008303352
runtime_filter_old,model_mismatch_heavy,clean,205,"{'m': 1.5, 'k': 540.0, 'b_r': 10.8}",{},off,True,soft,1.0,0.0,True,90.15898259088856,6.7599999999999,target_reached,189,0.5910482790733794,12.638739265148438,1.835100247460592,3.2130854765088737,11.560953793194956,89,0.05894894768419688,0.9144000066005058,0.26288869999662756,0.5480728058695752,0.8232395234688507,0,0.0,0.0,0.0,0,0,0.010439712389380532,0.0,4.679603308233786,8.84003650292429,0.20004736461592204,3.645706908094898,8.850944502398852,18.804531570600037,54.432390622309384,0.19701609302445983,4.2129130883828125,1.630174092476671,8.63677967468498,0.049124123070164075,0.7620000055004216,100.99766937503591
runtime_filter_old,larger_target,clean,206,{'theta_target': 1.8325957145940461},{'target_theta': 1.8325957145940461},off,True,soft,1.0,0.0,False,-63.57986068190555,nan,max_time,272,0.5506839942434876,7.657698607249353,1.8830007755087688,3.183713978152956,5.729457910438257,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,9.753433208489388e-06,0.0,3.117132816532829,6.948788936447888,0.18165730216651588,2.054157041852082,5.2614286960587915,36.95233396411806,57.31955932263657,0.18356133141449585,2.552566202416451,3.6096033602276485,8.838957521000191,0.0,0.0,64.16140558291227
runtime_filter_old,worse_initial_state,clean,207,"{'theta_init': 0.04, 'omega_init': -0.18, 'r_init': 0.33, 'r_dot_init': -0.03}",{},off,True,soft,1.0,0.0,False,40.29623750868682,nan,max_time,156,0.30245872894353115,8.722768078921264,1.0945773288745693,1.734252736541521,4.980575565003097,17,0.0013297574835838422,0.10897367713503847,0.0,0.0,0.0607373313368249,0,0.0,0.0,0.0,0,0,0.008202637328339576,0.0,5.570283913280969,7.152949136365623,0.12616626576352152,4.6882617379317875,7.060227810007313,19.585326371587488,70.29418588288668,0.10081957631451041,2.9075893596404216,2.048992249761098,8.9956503379718,0.0011081312363198685,0.09081139761253207,125.04030929191504
runtime_filter_old,combined_stress,noise_bias,208,"{'m': 1.32, 'k': 495.0, 'b_r': 14.4, 'theta_init': 0.04, 'omega_init': -0.18, 'r_init': 0.33, 'r_dot_init': -0.03}",{},off,True,soft,1.0,0.0,False,85.65211550367984,nan,max_time,160,0.410118412439165,12.608965247051398,1.1720775034243127,2.917555573521212,6.724233901618914,77,0.024842927777373333,0.4911425927420747,0.0,0.2409664636647537,0.45563567455678555,0,0.0,0.0,0.0,0,0,0.018609550561797757,2.9260299625468165e-05,3.884831827852686,7.842827618553518,0.1554953109341679,2.45427472683542,5.777107718166759,14.593827312840988,78.39492116187778,0.13670613747972168,4.202988415683799,1.1482902274534565,8.873965320210543,0.020702439814477783,0.409285493951729,120.73615008301567
alpha100_omega0,clean,clean,201,{},{},soft_penalty,False,soft,100.0,0.0,True,90.01330081092338,1.9800000000000015,target_reached,64,0.9857485354022764,7.896744286389515,3.96199393521792,6.083357683682723,7.79039623468245,22,0.03384799525175945,0.480062211413689,0.06759888572251234,0.3469592700227373,0.4633886764643621,0,0.0,0.0,0.0,0,0,0.014086174242424244,0.0,3.7404367292113716,8.465669052466604,0.20044955850419865,0.5422748098555062,2.268090655027916,8.816309688162013,19.97302356153392,0.32858284513409214,2.6322480954631717,0.3550757115456028,3.667560816927673,0.02820666270979955,0.4000518428447408,33.27173237502575
alpha100_omega0,noise,noise,202,{},{},soft_penalty,False,soft,100.0,0.0,True,90.0976013057345,1.7900000000000014,target_reached,67,0.929656576970868,7.1947958213639005,3.392843664033925,3.9415199784948003,6.287051564705115,15,0.016450929746062166,0.3693243217456712,0.0,0.16172648070953322,0.3318274520983212,0,0.0,0.0,0.0,0,0,0.011935763888888886,0.0,4.112449634312136,7.786210741715428,0.21274749336279689,0.4902767307741556,1.4094748964755464,9.128017289446714,21.17576393784492,0.309885525656956,2.398265273787967,0.37660311872368774,3.3477018043973,0.013709108121718473,0.3077702681213927,30.0723514999263
alpha100_omega0,noise_bias,noise_bias,203,{},{},soft_penalty,False,soft,100.0,0.0,True,90.19524106220892,1.8400000000000014,target_reached,69,0.9933289946143535,8.93056584676706,3.924684462035506,5.763155918721965,8.733617256959452,21,0.03091821353060872,0.45068360026622556,0.04816266491901175,0.31087552288180087,0.43797796468714784,0,0.0,0.0,0.0,0,0,0.012516801075268816,0.0,4.065172839047677,8.590763710056608,0.22078447599089915,0.510203547656787,1.84281163019459,9.350397095695946,21.157227371829197,0.33110966487145116,2.9768552822556864,0.40182012807795453,3.291409005316279,0.025765177942173936,0.37556966688852134,31.084707500063814
alpha100_omega0,model_mismatch_light,clean,204,"{'m': 1.32, 'k': 495.0, 'b_r': 14.4}",{},soft_penalty,False,soft,100.0,0.0,False,87.68217496681176,nan,max_time,72,0.27143251857260864,11.39168111406417,0.0,2.300038149388109,6.281964483829044,57,0.022198020851437912,0.5285751808896262,0.0,0.25450846841801444,0.43418198509439,0,0.0,0.0,0.0,0,0,0.03636079900124844,0.0,1.7747825432575945,9.830254195032177,0.049855224151713715,0.9763953364453212,3.141437709239616,4.246407477281904,23.97460312646662,0.09047750619086954,3.79722703802139,0.08976882636764622,4.346171725691074,0.018498350709531593,0.4404793174080218,134.17234408296645
