case,name,population_prior,registered_true,final_last_valid,absolute_error,normalized_error_fraction_of_span
noise_bias_drift_200hz,g2_distal_gravity_combination,7.607366586,8.360556736946688,7.824913593507281,-0.5356431434394064,-0.07041111235853444
noise_bias_drift_200hz,k1_passive_stiffness,10.0,11.5,9.930837305493803,-1.569162694506197,-0.1569162694506197
noise_bias_drift_200hz,k2_passive_stiffness,10.0,11.5,10.3,-1.1999999999999993,-0.11999999999999993
noise_bias_drift_200hz,rho1_stiffness_rest_combination,0.8726646259971648,0.6021385919380436,0.9505716522345793,0.34843306029653565,0.07985497519127531
noise_bias_drift_200hz,rho2_stiffness_rest_combination,1.7453292519943295,2.6092672317315224,1.8285491235479505,-0.7807181081835719,-0.14910617529452228
noise_bias_drift_200hz,bv1_viscous_damping,5.0,5.0,5.00415385703207,0.00415385703206983,0.000830771406413966
noise_bias_drift_200hz,bv2_viscous_damping,5.0,5.0,4.898266198991036,-0.10173380100896434,-0.02034676020179287
noise_bias_delay_200hz,a_inertia_combination,1.4508174768147026,1.7741460474323272,1.613670941494865,-0.16047510593746228,-0.11061012739506586
noise_bias_delay_200hz,b_distal_inertia_combination,0.19868084092008,0.22838318214899916,0.19636574528724585,-0.03201743686175332,-0.16115009737970873
noise_bias_delay_200hz,d_mass_length_com_combination,0.338787595728,0.39467009468618813,0.37989682897181487,-0.014773265714373263,-0.04360627691408799
noise_bias_delay_200hz,g1_proximal_gravity_combination,33.064998596820004,38.48377520184592,35.8537809342949,-2.6299942675510195,-0.07954012941660783
noise_bias_delay_200hz,g2_distal_gravity_combination,7.607366586,8.360556736946688,7.362338433568837,-0.9982183033778504,-0.13121732627094546
noise_bias_delay_200hz,k1_passive_stiffness,10.0,11.5,10.716810737415788,-0.7831892625842123,-0.07831892625842123
noise_bias_delay_200hz,k2_passive_stiffness,10.0,11.5,10.604480501480966,-0.8955194985190342,-0.08955194985190343
noise_bias_delay_200hz,rho1_stiffness_rest_combination,0.8726646259971648,0.6021385919380436,0.7145482118415725,0.11240961990352882,0.025762387188567912
noise_bias_delay_200hz,rho2_stiffness_rest_combination,1.7453292519943295,2.6092672317315224,2.5307274153917776,-0.07853981633974483,-0.015
noise_bias_delay_200hz,bv1_viscous_damping,5.0,5.0,5.331632420786506,0.331632420786506,0.0663264841573012
noise_bias_delay_200hz,bv2_viscous_damping,5.0,5.0,5.003367785391932,0.0033677853919318324,0.0006735570783863665
noise_bias_delay_100hz,a_inertia_combination,1.4508174768147026,1.7741460474323272,1.4508174768147026,-0.32332857061762454,-0.2228595779859907
noise_bias_delay_100hz,b_distal_inertia_combination,0.19868084092008,0.22838318214899916,0.19868084092008,-0.029702341228919155,-0.14949776280072727
noise_bias_delay_100hz,d_mass_length_com_combination,0.338787595728,0.39467009468618813,0.338787595728,-0.05588249895818814,-0.16494848000000015
noise_bias_delay_100hz,g1_proximal_gravity_combination,33.064998596820004,38.48377520184592,33.064998596820004,-5.4187766050259185,-0.16388255965469978
noise_bias_delay_100hz,g2_distal_gravity_combination,7.607366586,8.360556736946688,7.607366586,-0.7531901509466872,-0.0990079999999999
noise_bias_delay_100hz,k1_passive_stiffness,10.0,11.5,10.0,-1.5,-0.15
noise_bias_delay_100hz,k2_passive_stiffness,10.0,11.5,10.0,-1.5,-0.15
noise_bias_delay_100hz,rho1_stiffness_rest_combination,0.8726646259971648,0.6021385919380436,0.8726646259971648,0.2705260340591211,0.06200000000000002
noise_bias_delay_100hz,rho2_stiffness_rest_combination,1.7453292519943295,2.6092672317315224,1.7453292519943295,-0.8639379797371929,-0.16499999999999995
noise_bias_delay_100hz,bv1_viscous_damping,5.0,5.0,5.0,0.0,0.0
noise_bias_delay_100hz,bv2_viscous_damping,5.0,5.0,5.0,0.0,0.0
