case,alignment,quantity,bias,component_rmse,combined_rmse,peak_norm
noise_200hz,aligned,cuff_force_n,"[-0.011386101706745574, -0.00023107187918070167, -0.06322672439414331]","[1.5111518752424886, 0.6504619037563556, 1.4501461605287453]",1.2661759442225369,54.535616077741516
noise_200hz,aligned,cuff_moment_nm,"[-0.0014142395569113975, -0.014499098586888486, -0.0002854106159128974]","[0.17472207547894802, 0.3717158068428129, 0.10678951124822064]",0.24502002940515505,12.805213808761533
noise_200hz,aligned,robot_q_deg,"[0.00020235699280637398, 8.772108590432308e-05, 0.000589246322989504, 0.00048714777522215454, 0.0008212063372160976, 3.9017992846917916e-05]","[0.06220000796758774, 0.10673843572891677, 0.07621726466506831, 0.10512746945909397, 0.07703148152888341, 0.06480737320527917]",0.08392122863060827,0.40307245306778516
noise_200hz,aligned,robot_dq_deg_s,"[0.0013422253590734516, -0.0012168172658130784, 0.00017961627240016136, -2.6309484123292505e-05, -0.0005445776381394642, -0.0022670553030317347]","[0.14985418737538256, 0.2449551944081719, 0.22804794030563402, 0.4883868773239423, 0.31181433127306507, 0.14070955650349798]",0.28577796924653326,2.690859385467979
noise_200hz,arrival_aligned,human_q_deg,"[0.030739111962113277, 0.08037644524814501]","[0.1593916558067701, 0.1998300156205523]",0.18074531125832,0.7427532181212397
noise_200hz,arrival_aligned,human_dq_deg_s,"[-0.004965597725980444, -0.007372489705303752]","[1.4027743950767873, 1.7104800093650228]",1.5642119207320362,17.124710555410672
noise_200hz,arrival_aligned,cuff_position_mm,"[-0.004234429742121701, 0.0022565677932679033, 0.004057950407715232]","[0.8797386268961279, 0.10383516051904862, 1.04684416771263]",0.7917500665586864,2.889954459187532
noise_200hz,arrival_aligned,cuff_orientation_deg,"[0.0005721843755375235, 0.001191310781773164, 0.0012101857532610585]","[0.017791100447407535, 0.0828723003830607, 0.018094356735304504]",0.050039141917684354,0.3243550335020514
noise_200hz,arrival_aligned,cuff_force_n,"[-0.011386101706745574, -0.00023107187918070167, -0.06322672439414331]","[1.5111518752424886, 0.6504619037563556, 1.4501461605287453]",1.2661759442225369,54.535616077741516
noise_200hz,arrival_aligned,cuff_moment_nm,"[-0.0014142395569113975, -0.014499098586888486, -0.0002854106159128974]","[0.17472207547894802, 0.3717158068428129, 0.10678951124822064]",0.24502002940515505,12.805213808761533
noise_bias_drift_200hz,aligned,human_q_deg,"[0.030739111962113277, 0.08037644524814501]","[0.1593916558067701, 0.1998300156205523]",0.18074531125832,0.7427532181212397
noise_bias_drift_200hz,aligned,human_dq_deg_s,"[-0.004965597725980444, -0.007372489705303752]","[1.4027743950767873, 1.7104800093650228]",1.5642119207320362,17.124710555410672
noise_bias_drift_200hz,aligned,cuff_position_mm,"[-0.004234429742121701, 0.0022565677932679033, 0.004057950407715232]","[0.8797386268961279, 0.10383516051904862, 1.04684416771263]",0.7917500665586864,2.889954459187532
noise_bias_drift_200hz,aligned,cuff_orientation_deg,"[0.0005721843755375235, 0.001191310781773164, 0.0012101857532610585]","[0.017791100447407535, 0.0828723003830607, 0.018094356735304504]",0.050039141917684354,0.3243550335020514
noise_bias_drift_200hz,aligned,cuff_force_n,"[1.9478146239022263, -1.344631616085914, 0.9663736384103448]","[2.4685614925191532, 1.5064756433538982, 1.7508805306408899]",1.951823706088252,53.54638633647212
noise_bias_drift_200hz,aligned,cuff_moment_nm,"[0.040065778583313116, -0.043683113099068145, 0.021602600268221694]","[0.1794474041329507, 0.3737498573078106, 0.10902802081859192]",0.24750584909673148,12.82149865638209
noise_bias_drift_200hz,aligned,robot_q_deg,"[0.00020235699280637398, 8.772108590432308e-05, 0.000589246322989504, 0.00048714777522215454, 0.0008212063372160976, 3.9017992846917916e-05]","[0.06220000796758774, 0.10673843572891677, 0.07621726466506831, 0.10512746945909397, 0.07703148152888341, 0.06480737320527917]",0.08392122863060827,0.40307245306778516
noise_bias_drift_200hz,aligned,robot_dq_deg_s,"[0.0013422253590734516, -0.0012168172658130784, 0.00017961627240016136, -2.6309484123292505e-05, -0.0005445776381394642, -0.0022670553030317347]","[0.14985418737538256, 0.2449551944081719, 0.22804794030563402, 0.4883868773239423, 0.31181433127306507, 0.14070955650349798]",0.28577796924653326,2.690859385467979
noise_bias_drift_200hz,arrival_aligned,human_q_deg,"[0.030739111962113277, 0.08037644524814501]","[0.1593916558067701, 0.1998300156205523]",0.18074531125832,0.7427532181212397
noise_bias_drift_200hz,arrival_aligned,human_dq_deg_s,"[-0.004965597725980444, -0.007372489705303752]","[1.4027743950767873, 1.7104800093650228]",1.5642119207320362,17.124710555410672
noise_bias_drift_200hz,arrival_aligned,cuff_position_mm,"[-0.004234429742121701, 0.0022565677932679033, 0.004057950407715232]","[0.8797386268961279, 0.10383516051904862, 1.04684416771263]",0.7917500665586864,2.889954459187532
noise_bias_drift_200hz,arrival_aligned,cuff_orientation_deg,"[0.0005721843755375235, 0.001191310781773164, 0.0012101857532610585]","[0.017791100447407535, 0.0828723003830607, 0.018094356735304504]",0.050039141917684354,0.3243550335020514
noise_bias_drift_200hz,arrival_aligned,cuff_force_n,"[1.9478146239022263, -1.344631616085914, 0.9663736384103448]","[2.4685614925191532, 1.5064756433538982, 1.7508805306408899]",1.951823706088252,53.54638633647212
noise_bias_drift_200hz,arrival_aligned,cuff_moment_nm,"[0.040065778583313116, -0.043683113099068145, 0.021602600268221694]","[0.1794474041329507, 0.3737498573078106, 0.10902802081859192]",0.24750584909673148,12.82149865638209
noise_bias_delay_200hz,aligned,human_q_deg,"[-0.05835052072125704, -0.020205830383552975]","[0.14320936330366446, 0.12595814571647546]",0.13485988323102943,0.6259639781899834
noise_bias_delay_200hz,aligned,human_dq_deg_s,"[0.10600037567668937, -0.011053024834074868]","[5.54055941776374, 1.7009195386107885]",4.098226807937697,47.10137473269474
noise_bias_delay_200hz,aligned,cuff_position_mm,"[0.4471045438032734, 0.008445116198569242, -0.4487837590828504]","[0.8962687242935843, 0.1054540746082353, 1.2083460926184362]",0.8707311999204219,6.196778742686486
noise_bias_delay_200hz,aligned,cuff_orientation_deg,"[-0.00030443019030032423, -0.011633913184513529, 8.832796875322145e-05]","[0.017930638720430457, 0.11250934063505713, 0.018033334524522403]",0.06659594754720749,0.6101974714870639
noise_bias_delay_200hz,aligned,cuff_force_n,"[1.8433962450575485, -1.20405670997838, 0.9094006167312461]","[4.774744549849849, 1.7503684996225268, 2.1605784181757]",3.1900927103496675,53.54638633647212
noise_bias_delay_200hz,aligned,cuff_moment_nm,"[0.035264907812481164, -0.03043164436249017, 0.018348714532570323]","[0.5088693304483232, 0.7130851524270457, 0.15318910265835461]",0.5134540976744659,12.82149865638209
noise_bias_delay_200hz,aligned,robot_q_deg,"[-0.03261010109405985, 0.02810988124142488, 0.027473425925330246, -0.043831248156317504, -0.009955543787570624, 0.03422072109898685]","[0.05601262084566119, 0.11039445549788683, 0.07784233128507205, 0.14703034130273507, 0.10258017352203878, 0.05620683950406422]",0.09719705080317989,1.1268268589704749
noise_bias_delay_200hz,aligned,robot_dq_deg_s,"[0.015598571734362132, -0.019472813215491495, -0.027585397347582745, 0.06765194039963814, -0.03856822005113585, -0.006619754979940738]","[0.5290754406414456, 0.7694333014441478, 1.0919122685623468, 2.8611319806204243, 1.557763425359167, 0.31071018009226525]",1.4590787473280755,31.367871034952167
noise_bias_delay_200hz,arrival_aligned,human_q_deg,"[-0.10948186351797087, -0.07965850547303817]","[0.23140550600319734, 0.2055066218280322]",0.21883953004857878,0.9952053876334421
noise_bias_delay_200hz,arrival_aligned,human_dq_deg_s,"[0.12644135725109026, -0.009843131331843781]","[6.77779852931662, 1.8929821551887958]",4.976039305706383,57.92289315336087
noise_bias_delay_200hz,arrival_aligned,cuff_position_mm,"[0.7021735280588842, 0.00844127039652817, -0.6997144741895894]","[1.4128170226531316, 0.10548379707263224, 1.8994784839588437]",1.3681127246400304,10.039937406405084
noise_bias_delay_200hz,arrival_aligned,cuff_orientation_deg,"[-0.00031403712136730344, -0.01996538901150756, 9.211118654936923e-05]","[0.018066078972306294, 0.17659813993917842, 0.018089685440540012]",0.10302187948642912,0.9514203693682791
noise_bias_delay_200hz,arrival_aligned,cuff_force_n,"[1.9370696162376155, -1.2184550504696607, 0.8965517901996405]","[7.237393043069758, 2.34129902513938, 3.0820084194379853]",4.738505920733515,75.99994226429872
noise_bias_delay_200hz,arrival_aligned,cuff_moment_nm,"[0.02959443593516589, -0.027741579028977607, 0.01944475587285902]","[0.8142134223130936, 1.120060528954635, 0.24054402341961287]",0.8114473720457436,18.718974751639777
noise_bias_delay_100hz,aligned,human_q_deg,"[-0.04764421476819582, -0.008409590039757216]","[0.1246814342907992, 0.11963787622307087]",0.12218568141148464,0.513176086978155
noise_bias_delay_100hz,aligned,human_dq_deg_s,"[0.07101817276543933, -0.01691181681562112]","[4.662754308012301, 2.180558434163408]",3.639787962346737,35.797601836446184
