setting,case,candidate_index,fit_end_time_s,reference_epoch,parameter_identification_status,active_bound_count,rank,rrqr_rank,condition_number,control_model_status,decision_time_s,decision_reason,decision_block_count,look_count,final_delta_prior_mean_nms2,final_delta_prior_upper_nms2,final_delta_last_mean_nms2,final_delta_last_upper_nms2,oracle_improvement_vs_last_valid_nm,proposed_model_distance_to_truth_span_l2,reference_model_distance_to_truth_span_l2
sensitivity_moving_block_bootstrap_l2,ideal_200hz,7,8.880000000000518,0,identified_boundary_pressured,1,11,11,846.3552044073479,rejected_superseded_reference_changed,10.87999999999941,last_valid_changed_before_candidate_decision,,0,,,,,0.4259869559829288,0.4096728326550378,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,ideal_200hz,8,9.38000000000024,0,identified_boundary_pressured,1,11,11,721.1484629892269,rejected_superseded_reference_changed,10.87999999999941,last_valid_changed_before_candidate_decision,,0,,,,,0.4126206687059004,0.40926399285145104,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,ideal_200hz,9,9.879999999999963,0,identified_boundary_pressured,1,11,11,685.3749817649332,rejected_superseded_reference_changed,10.87999999999941,last_valid_changed_before_candidate_decision,,0,,,,,0.40886884340302077,0.410608892518552,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,ideal_200hz,10,10.379999999999686,0,identified_boundary_pressured,1,11,11,574.8600259935994,rejected_superseded_reference_changed,10.87999999999941,last_valid_changed_before_candidate_decision,,0,,,,,nan,0.41014033557671387,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,ideal_200hz,11,10.87999999999941,1,identified_boundary_pressured,1,11,11,543.7443587743173,promoted,19.380000000000702,upper_bounds_below_zero_against_both_references,8,1,-1.1357164520261755,-0.7446526072539452,-0.6399902969893041,-0.42950631360572444,0.37715320208777303,0.40085178964290935,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,12,11.379999999999132,1,identified_boundary_pressured,1,11,11,544.547704782942,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.37852681548500433,0.4003514128631395,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,13,11.879999999998855,1,identified_boundary_pressured,2,11,11,495.82503985371596,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.3811981980649639,0.39957151385059003,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,14,12.379999999998578,1,identified_boundary_pressured,2,11,11,495.82503985371596,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.3819549090189249,0.39945182151126424,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,15,12.8799999999983,1,identified_boundary_pressured,2,11,11,495.82503985371596,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.3825631480247993,0.3993526227021072,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,16,13.379999999998024,1,identified_boundary_pressured,2,11,11,495.82503985371596,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.39181437350293624,0.3992704573992886,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,17,13.879999999997747,1,identified_boundary_pressured,1,11,11,419.9582118697494,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.40349473780851364,0.40121063198767476,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,18,14.37999999999747,1,identified_boundary_pressured,1,11,11,422.2364732706448,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.40540734202495887,0.40116037063465027,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,19,14.879999999997192,1,identified_boundary_pressured,1,11,11,425.233330548486,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.40595068205585694,0.4011279152871431,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,20,15.379999999996915,1,identified_boundary_pressured,1,11,11,425.233330548486,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.4061538857818219,0.40107321428765463,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,21,15.879999999996638,1,identified_boundary_pressured,1,11,11,425.233330548486,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.4061950268279131,0.40103641008353014,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,22,16.379999999997036,1,identified_boundary_pressured,1,11,11,425.233330548486,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.4096714555391796,0.4010057194933852,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,23,16.879999999997647,1,identified_boundary_pressured,1,11,11,390.7321852439675,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.40587197153942656,0.4017267998709788,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,24,17.379999999998258,1,identified_boundary_pressured,1,11,11,350.4997800439677,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.40532975732086474,0.4023456576136832,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,25,17.87999999999887,1,identified_boundary_pressured,2,11,11,323.3243913011247,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.413922870854738,0.40081255379124897,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,26,18.37999999999948,1,identified_boundary_pressured,2,11,11,322.33776356894583,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,0.415335408833458,0.400840824178313,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,27,18.88000000000009,1,identified_boundary_pressured,2,11,11,331.82765787693427,rejected_superseded_reference_changed,19.380000000000702,last_valid_changed_before_candidate_decision,,0,,,,,nan,0.40047872495934156,0.4509287563919224
sensitivity_moving_block_bootstrap_l2,ideal_200hz,28,19.380000000000702,2,identified_boundary_pressured,2,11,11,338.11039487908835,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,ideal_200hz,29,19.880000000001314,2,identified_boundary_pressured,2,11,11,340.7460075477788,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,ideal_200hz,30,20.380000000001925,2,identified_boundary_pressured,2,11,11,340.57148543539165,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,ideal_200hz,31,20.880000000002536,2,identified_boundary_pressured,2,11,11,344.35895673180244,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,ideal_200hz,32,21.380000000003147,2,identified_boundary_pressured,2,11,11,344.35895673180244,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,ideal_200hz,33,21.880000000003758,2,identified_boundary_pressured,2,11,11,344.35895673180244,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,ideal_200hz,34,22.38000000000437,2,identified_boundary_pressured,2,11,11,344.35895673180244,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,ideal_200hz,35,22.88000000000498,2,identified_boundary_pressured,2,11,11,344.35895673180244,pending_insufficient_future_evidence,,trace_ended_before_statistical_decision,,0,,,,,,,
sensitivity_moving_block_bootstrap_l2,noise_200hz,0,5.380000000000131,0,identified_boundary_pressured,2,11,11,6513.780311950414,promoted,17.899999999998894,upper_bounds_below_zero_against_both_references,8,1,-0.6757850141347735,-0.5147993371684059,-0.6757850141347735,-0.5147993371684059,0.29713982304655495,0.4822195707359471,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,1,5.880000000000298,0,identified_boundary_pressured,2,11,11,6513.780311950414,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.30426711759389846,0.4824963067150771,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,2,6.380000000000465,0,identified_boundary_pressured,2,11,11,4092.7586867844643,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.30396319652775095,0.47584656875265713,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,3,6.880000000000632,0,identified_boundary_pressured,2,11,11,4059.9170662682823,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.32831079649695294,0.46765492340851994,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,4,7.380000000000799,0,identified_boundary_pressured,2,11,11,4227.698737867983,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.3421920361143469,0.4639264198102108,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,5,7.880000000000966,0,identified_boundary_pressured,3,11,11,4264.796998085577,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.3751118089174046,0.4563790873808496,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,6,8.380000000000795,0,identified_boundary_pressured,3,11,11,1525.969344973897,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.39894451086072547,0.4470300731820281,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,7,8.880000000000518,0,identified_boundary_pressured,2,11,11,854.0624923851078,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.5661057323881447,0.42631071258204273,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,8,9.38000000000024,0,identified_boundary_pressured,1,11,11,854.0624923851078,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.5527857770506306,0.42506401628000096,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,9,9.879999999999963,0,identified_boundary_pressured,1,11,11,854.0624923851078,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.5330716411000611,0.42421582707366373,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,10,10.379999999999686,0,identified_boundary_pressured,1,11,11,651.956316437556,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.4279927194961344,0.43040319198718957,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,11,10.87999999999941,0,identified_boundary_pressured,2,11,11,546.6263862835295,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.41259410558678455,0.4291153982789166,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,12,11.379999999999132,0,identified_boundary_pressured,2,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.41330105301801146,0.4298946292671842,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,13,11.879999999998855,0,identified_boundary_pressured,2,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.4129939393911517,0.42939120489011917,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,14,12.379999999998578,0,identified_boundary_pressured,2,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.41267168302832324,0.4289168625216297,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,15,12.8799999999983,0,identified_boundary_pressured,2,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.41267168302832324,0.4289168625216297,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,16,13.379999999998024,0,identified_boundary_pressured,2,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.4124134460467608,0.428563637720989,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,17,13.879999999997747,0,identified_boundary_pressured,2,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.4116611153636698,0.42831284511928097,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,18,14.37999999999747,0,identified_boundary_pressured,2,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.41139165583332904,0.4281264632071279,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,19,14.879999999997192,0,identified_boundary_pressured,2,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.41113554550877085,0.4279479912593158,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,20,15.379999999996915,0,identified_boundary_pressured,2,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.41137029478062104,0.42783806891433496,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,21,15.879999999996638,0,identified_boundary_pressured,2,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.41137029478062104,0.42783806891433496,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,22,16.379999999997036,0,identified_boundary_pressured,2,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.4114829285920676,0.4277275694096442,0.46038359121476413
sensitivity_moving_block_bootstrap_l2,noise_200hz,23,16.879999999997647,0,identified_boundary_pressured,2,11,11,542.2978128958299,rejected_superseded_reference_changed,17.899999999998894,last_valid_changed_before_candidate_decision,,0,,,,,0.41139720927817436,0.42763976880580146,0.46038359121476413
