condition,seed,update_index,step,time,window_start,window_end,solver_success,solver_status,iterations,solve_time_s,lambda_hat,m_hat,current_state_error,full_window_state_rmse,alpha_prediction_error,arrival_prior_error_shifted_previous,warm_start_to_final_rms,process_residual_rms,process_residual_max,state_bound_hits,parameter_bound_hit,current_is_final_window_state,fallback_applied,failed_solution_handling_ok,arrival_shift_consistent,deque_alignment_ok,control_measurement_alignment_ok,measurement_cost,process_cost,arrival_cost,parameter_prior_cost,total_cost,abnormal
clean,103,18,180,1.8,110,180,False,The maximum number of function evaluations is exceeded.,45,2.3020637500012526,0.8332591178672296,1.2001068797897494,0.3385328574151346,nan,1.9066679904969686,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,19,190,1.9000000000000001,120,190,False,The maximum number of function evaluations is exceeded.,45,2.2834902080066968,0.8332591178672296,1.2001068797897494,0.6061796822999591,nan,3.346317991887343,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,20,200,2.0,130,200,False,The maximum number of function evaluations is exceeded.,45,2.295940750002046,0.8332591178672296,1.2001068797897494,1.0687348082895722,nan,5.70332060677024,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,21,210,2.1,140,210,False,The maximum number of function evaluations is exceeded.,45,2.2641943750059,0.8332591178672296,1.2001068797897494,1.840310870819368,nan,9.330461025250658,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,22,220,2.2,150,220,False,The maximum number of function evaluations is exceeded.,45,2.280236791993957,0.8332591178672296,1.2001068797897494,3.0639659160298245,nan,14.357775619938028,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,23,230,2.3000000000000003,160,230,True,`ftol` termination condition is satisfied.,26,3.67595670800074,0.922117921168737,1.0844599991425732,0.015336944284485999,0.013824808673146173,-0.00729369499765653,nan,0.01414681555325107,1.1068588427629513e-05,3.2858183604767e-05,0.0,False,True,False,True,True,True,True,0.010786309068282436,2.131430288002712e-05,6.548836033846926e-05,3.9479434620879926e-06,0.010877059674963021,False
clean,103,24,240,2.4,170,240,False,The maximum number of function evaluations is exceeded.,45,2.313060625005164,0.922117921168737,1.0844599991425732,0.014805571529808461,nan,0.03386680859349539,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,25,250,2.5,180,250,False,The maximum number of function evaluations is exceeded.,45,2.2895572079869453,0.922117921168737,1.0844599991425732,0.017082557661071748,nan,0.04410012354468529,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,26,260,2.6,190,260,True,Both `ftol` and `xtol` termination conditions are satisfied.,19,1.080259541005944,0.9963063377440442,1.0037073559767966,0.012231250827209822,0.010510463093469579,-0.008552689793271673,nan,0.010977981223509797,8.80542949653841e-06,2.6597557758412105e-05,0.0,False,True,False,True,True,True,True,0.0035665200190519828,1.1475434500578274e-05,6.737027495188261e-06,2.7519605769756555e-06,0.003587484441624725,False
clean,103,27,270,2.7,200,270,False,The maximum number of function evaluations is exceeded.,45,2.3539352910011075,0.9963063377440442,1.0037073559767966,0.010949016953345759,nan,0.0014317608727484887,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,28,280,2.8000000000000003,210,280,False,The maximum number of function evaluations is exceeded.,45,2.3863340000098106,0.9963063377440442,1.0037073559767966,0.009364569530480732,nan,0.0183875146288804,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
clean,103,29,290,2.9,220,290,False,The maximum number of function evaluations is exceeded.,45,2.366288125005667,0.9963063377440442,1.0037073559767966,0.01290396800708009,nan,0.046058013620457056,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True
