condition,seed,update_index,step,time,window_start,window_end,solver_success,solver_status,iterations,solve_time_s,lambda_hat,m_hat,current_state_error,full_window_state_rmse,alpha_prediction_error,arrival_prior_error_shifted_previous,warm_start_to_final_rms,process_residual_rms,process_residual_max,state_bound_hits,parameter_bound_hit,current_is_final_window_state,fallback_applied,failed_solution_handling_ok,arrival_shift_consistent,deque_alignment_ok,control_measurement_alignment_ok,measurement_cost,process_cost,arrival_cost,parameter_prior_cost,total_cost,abnormal,event_role
noise,103,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7745716659992468,0.8404587677886525,1.1898263642737879,0.04323341191093083,nan,0.31054970456545483,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
noise,103,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.104577584002982,0.8404587677886525,1.1898263642737879,0.06974270025954488,nan,0.21905074857193618,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
noise,103,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.3559074160002638,0.8404587677886525,1.1898263642737879,0.08758529687076326,nan,0.10896027918662421,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
noise_bias,101,1,10,0.1,0,10,True,`ftol` termination condition is satisfied.,35,0.33183333299530204,0.8478736190382716,1.179421057037112,0.027618648551230224,0.012665758116774822,0.4053023203365873,nan,0.029436432133886966,1.1845104143483776e-06,3.1390145994181218e-06,0.0,False,True,False,True,True,True,True,0.0019027755351487686,3.1796336734294115e-07,8.732993194874612e-06,2.096291107306763e-05,0.001932789402784054,False,context
noise_bias,101,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7734588750026887,0.8478736190382716,1.179421057037112,0.08298740664967164,nan,0.5759713769093677,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
noise_bias,101,3,30,0.3,0,30,True,`ftol` termination condition is satisfied.,18,0.485246084004757,0.8304930013853414,1.2041040662978553,0.03597987144857462,0.01229337729244086,-0.1161022938257319,nan,0.026913640114544123,2.1910543270821547e-06,8.9207498950028e-06,0.0,False,True,False,True,True,True,True,0.006074974534754858,3.921984513047429e-06,1.1109703437663951e-06,1.5104293499867438e-07,0.00608015853254667,False,context
noise_bias,101,4,40,0.4,0,40,False,The maximum number of function evaluations is exceeded.,45,1.3522545829910086,0.8304930013853414,1.2041040662978553,0.04516504123820421,nan,-0.07638262762952319,0.0,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
noise_bias,102,1,10,0.1,0,10,False,The maximum number of function evaluations is exceeded.,45,0.4075559159973636,1.0526315789473684,0.9500000000000001,0.90619869555591,nan,7.441434030304938,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,first_divergence
noise_bias,102,2,20,0.2,0,20,False,The maximum number of function evaluations is exceeded.,45,0.7779906659998232,1.0526315789473684,0.9500000000000001,1.7934297987597088,nan,8.814659011218584,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
noise_bias,102,3,30,0.3,0,30,False,The maximum number of function evaluations is exceeded.,45,1.1429889580031158,1.0526315789473684,0.9500000000000001,2.7147063202353947,nan,9.467993519656678,nan,nan,nan,nan,nan,False,False,True,True,True,True,True,nan,nan,nan,nan,nan,True,context
