method,input_source,condition,seed,planning_time_type,available,step,timestamp,mean_relative_error,max_relative_std,m_hat,k_hat,b_r_hat,m_relative_error,k_relative_error,b_r_relative_error,m_std,k_std,b_r_std
windowed_nls_current,ukf_filtered,initial_theta_offset,102,first_confidence_threshold,True,10,0.1,0.19656480306683075,0.101928525693001,1.159881587032846,324.64073593604166,13.001647391456782,0.03343201080596159,0.27857614236435185,0.27768625603017877,0.008509068250557021,29.043004236716005,1.325238750191442
windowed_nls_current,ukf_filtered,initial_theta_offset,102,first_valid_window,True,10,0.1,0.19656480306683075,0.101928525693001,1.159881587032846,324.64073593604166,13.001647391456782,0.03343201080596159,0.27857614236435185,0.27768625603017877,0.008509068250557021,29.043004236716005,1.325238750191442
windowed_nls_current,ukf_filtered,initial_theta_offset,102,fixed_2s_diagnostic,True,200,2.0,0.0809418047035353,0.01070352916287977,1.2256591484104784,378.70958701317494,19.134353708360727,0.02138262367539871,0.15842313997072235,0.06301965046448485,0.0007113267277408119,0.35470109197043304,0.2048051129302957
windowed_nls_current,ukf_filtered,initial_theta_offset,102,t0_nominal,True,0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_huber,ukf_filtered,initial_theta_offset,102.0,first_confidence_threshold,True,40.0,0.4,0.5724032023908409,0.18213928208241087,1.1735571855148677,231.48009363591024,39.77233445726483,0.022035678737610254,0.4855997919201995,1.209574136514713,0.003329203073860096,37.41886167795989,7.244104444787749
windowed_nls_huber,ukf_filtered,initial_theta_offset,102.0,first_valid_window,True,10.0,0.1,0.37529121097565366,14.112504688572832,1.0621523244748703,257.5497312913097,28.49999951146074,0.11487306293760806,0.4276672637970896,0.5833333061922633,0.020087936461468243,3634.671790389281,360.75534716363
windowed_nls_huber,ukf_filtered,initial_theta_offset,102.0,fixed_2s_diagnostic,True,200.0,2.0,0.10244211521397424,0.1177460412614626,1.2243303984903426,379.8580745550529,15.638758773598415,0.020275332075285573,0.15587094543321578,0.1311800681334214,0.0011987004487109924,1.3155799901605956,1.841401935834179
windowed_nls_huber,ukf_filtered,initial_theta_offset,102.0,t0_nominal,True,0.0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,102.0,first_confidence_threshold,True,40.0,0.4,0.5764189311658755,0.1710582427153137,1.173686144554432,231.78308020718077,40.00323765956099,0.02192821287130664,0.4849264884284872,1.2224020921978327,0.0032128994892406167,35.34165106946349,6.842883536967561
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,102.0,first_valid_window,True,10.0,0.1,0.37399787688864444,12.758715546451224,1.0626418141408123,259.1121858960037,28.49999999993913,0.1144651548826564,0.42419514245332507,0.5833333333299517,0.02026948071981106,3305.9386744663025,327.14121473618644
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,102.0,fixed_2s_diagnostic,True,200.0,2.0,0.10236244357088076,0.11577740462847466,1.2242914509030731,379.8467494776518,15.642929831612463,0.020242875752560972,0.15589611227188482,0.1309483426881965,0.0011798655909056835,1.293939365757533,1.8110978166894331
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,102.0,t0_nominal,True,0.0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_current,ukf_filtered,initial_theta_offset,103,first_confidence_threshold,True,10,0.1,0.19656480306683075,0.101928525693001,1.159881587032846,324.64073593604166,13.001647391456782,0.03343201080596159,0.27857614236435185,0.27768625603017877,0.008509068250557021,29.043004236716005,1.325238750191442
windowed_nls_current,ukf_filtered,initial_theta_offset,103,first_valid_window,True,10,0.1,0.19656480306683075,0.101928525693001,1.159881587032846,324.64073593604166,13.001647391456782,0.03343201080596159,0.27857614236435185,0.27768625603017877,0.008509068250557021,29.043004236716005,1.325238750191442
windowed_nls_current,ukf_filtered,initial_theta_offset,103,fixed_2s_diagnostic,True,200,2.0,0.0809418047035353,0.01070352916287977,1.2256591484104784,378.70958701317494,19.134353708360727,0.02138262367539871,0.15842313997072235,0.06301965046448485,0.0007113267277408119,0.35470109197043304,0.2048051129302957
windowed_nls_current,ukf_filtered,initial_theta_offset,103,t0_nominal,True,0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_huber,ukf_filtered,initial_theta_offset,103.0,first_confidence_threshold,True,40.0,0.4,0.5724032023908409,0.18213928208241087,1.1735571855148677,231.48009363591024,39.77233445726483,0.022035678737610254,0.4855997919201995,1.209574136514713,0.003329203073860096,37.41886167795989,7.244104444787749
windowed_nls_huber,ukf_filtered,initial_theta_offset,103.0,first_valid_window,True,10.0,0.1,0.37529121097565366,14.112504688572832,1.0621523244748703,257.5497312913097,28.49999951146074,0.11487306293760806,0.4276672637970896,0.5833333061922633,0.020087936461468243,3634.671790389281,360.75534716363
windowed_nls_huber,ukf_filtered,initial_theta_offset,103.0,fixed_2s_diagnostic,True,200.0,2.0,0.10244211521397424,0.1177460412614626,1.2243303984903426,379.8580745550529,15.638758773598415,0.020275332075285573,0.15587094543321578,0.1311800681334214,0.0011987004487109924,1.3155799901605956,1.841401935834179
windowed_nls_huber,ukf_filtered,initial_theta_offset,103.0,t0_nominal,True,0.0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,103.0,first_confidence_threshold,True,40.0,0.4,0.5764189311658755,0.1710582427153137,1.173686144554432,231.78308020718077,40.00323765956099,0.02192821287130664,0.4849264884284872,1.2224020921978327,0.0032128994892406167,35.34165106946349,6.842883536967561
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,103.0,first_valid_window,True,10.0,0.1,0.37399787688864444,12.758715546451224,1.0626418141408123,259.1121858960037,28.49999999993913,0.1144651548826564,0.42419514245332507,0.5833333333299517,0.02026948071981106,3305.9386744663025,327.14121473618644
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,103.0,fixed_2s_diagnostic,True,200.0,2.0,0.10236244357088076,0.11577740462847466,1.2242914509030731,379.8467494776518,15.642929831612463,0.020242875752560972,0.15589611227188482,0.1309483426881965,0.0011798655909056835,1.293939365757533,1.8110978166894331
windowed_nls_cauchy,ukf_filtered,initial_theta_offset,103.0,t0_nominal,True,0.0,0.0,0.24722222222222223,nan,0.95,360.0,12.0,0.20833333333333334,0.2,0.3333333333333333,nan,nan,nan
windowed_nls_current,ukf_filtered,noise,101,first_confidence_threshold,True,40,0.4,0.2287874174831186,0.19933875096426323,1.190189264320076,250.07074820174026,13.789810563040845,0.008175613066603304,0.444287226218355,0.2338994131643975,0.00853407780967848,40.19026335699091,2.7488436136703656
windowed_nls_current,ukf_filtered,noise,101,first_valid_window,True,10,0.1,0.21292436010167473,0.2225066995674402,1.1313643469300763,334.11854784182594,12.16687743688538,0.05719637755826975,0.25751433812927566,0.32406236461747884,0.016901690303473764,47.76029236893333,2.7072117425229223
windowed_nls_current,ukf_filtered,noise,101,fixed_2s_diagnostic,True,200,2.0,0.14177720568137664,0.11444860847573977,1.2019120623107822,313.30700224968507,20.159568262120008,0.001593385258985188,0.30376221722292207,0.11997601456222265,0.008899521928082132,3.783094592707973,2.3072345350713226
