method,input_source,condition,n,one_step_state_prediction_rmse_mean,five_step_state_prediction_rmse_mean,ten_step_state_prediction_rmse_mean,predicted_omega_rmse_mean,predicted_alpha_rmse_mean,predicted_alpha_p95_error_mean,parameter_update_total_variation_mean,maximum_single_update_mean,parameter_bound_hit_rate_mean,optimizer_failure_count_mean,low_excitation_window_fraction_mean,locally_distinguishable_fraction_mean,m_absolute_error_mean_mean,m_relative_error_mean_mean,m_rmse_mean,m_median_error_mean,m_p95_error_mean,m_maximum_error_mean,m_planner_time_error_mean,m_final_error_mean,m_fraction_inside_10pct_mean,predicted_alpha_rmse_if_m_oracle_mean,predicted_alpha_error_reduction_from_m_mean,k_absolute_error_mean_mean,k_relative_error_mean_mean,k_rmse_mean,k_median_error_mean,k_p95_error_mean,k_maximum_error_mean,k_planner_time_error_mean,k_final_error_mean,k_fraction_inside_10pct_mean,predicted_alpha_rmse_if_k_oracle_mean,predicted_alpha_error_reduction_from_k_mean,b_r_absolute_error_mean_mean,b_r_relative_error_mean_mean,b_r_rmse_mean,b_r_median_error_mean,b_r_p95_error_mean,b_r_maximum_error_mean,b_r_planner_time_error_mean,b_r_final_error_mean,b_r_fraction_inside_10pct_mean,predicted_alpha_rmse_if_b_r_oracle_mean,predicted_alpha_error_reduction_from_b_r_mean
windowed_nls_current,ukf_filtered,stronger_noise,3,0.03560042704751446,0.09600083292815524,0.16821117013011444,0.019478711918254996,1.9478711918254994,2.3310989475113786,417.84074239827584,98.81974389137277,0.0519047619047619,0.0,0.0,1.0,0.03472205529680955,0.02893504608067463,0.071151760897368,0.00934438231954123,0.1650284107775395,0.2777172665596853,0.25,0.2218500502493246,0.9034360585032696,0.4212763214946573,1.526594870330842,204.12683480044032,0.4536151884454229,207.74954736642212,191.80459965066197,265.9858460081295,273.3016312416474,90.0,237.04519957312309,0.0,1.8832422884304976,0.06462890339500198,13.298641929058087,0.7388134405032272,14.879097158455366,13.298022345793242,23.56750619316719,24.63982049704498,6.0,24.63982049704498,0.05180346161903257,1.9644758641582005,-0.01660467233270113
windowed_nls_huber,ukf_filtered,stronger_noise,3,0.03671344093994943,0.1081506364983257,0.1958060920271462,0.02169433091475352,2.1694330914753515,4.6534079020074595,402.20399797668256,94.73469575188024,0.0,0.0,0.0,1.0,0.04309856573319884,0.03591547144433237,0.07302524832539142,0.017592018715926933,0.18276338286566587,0.25,0.25,0.17861664983594439,0.8874549626143882,0.4376616815081705,1.7317714099671815,208.92905047781628,0.46428677883959185,212.33725379518296,198.83374922488917,275.78423643189893,282.44858186130995,90.0,227.64843131590644,0.0,2.0793002103231486,0.0901328811522033,17.757853581551355,0.9865474211972974,19.055694058744077,17.565434232425943,26.877337509376,26.950197248464814,6.0,26.747285397130653,0.011737089201877935,2.196427517333571,-0.026994425858219467
windowed_nls_cauchy,ukf_filtered,stronger_noise,3,0.036703856066617684,0.10796826322333218,0.19547531024246576,0.021667610587379815,2.166761058737982,4.67724663725449,399.352433040388,93.82241867697796,0.0,0.0,0.0,1.0,0.04263767429374941,0.03553139524479118,0.07245165583605018,0.01702991779372624,0.18111722856369794,0.25,0.25,0.18043867512142633,0.8808412060006315,0.4378794646309208,1.728881594107061,208.6767210236077,0.46372604671912826,212.02645110243995,199.59007614531424,274.7626083762901,281.031659135959,90.0,228.18460574347577,0.0,2.0744543431220066,0.09230671561597521,17.798627075019464,0.9888126152788592,19.077008189470423,17.55528144596207,26.86407610544029,26.928370044952118,6.0,26.903720549316645,0.011737089201877935,2.1940298263700093,-0.027268767632027496
windowed_nls_current,ukf_filtered,mass_mismatch,3,0.03426224315296176,0.14964250511836058,0.33267979032432077,0.028773749765297976,2.8773749765297976,0.6847408217368134,434.1841842776098,78.51163775025884,0.0,0.0,0.32142857142857145,1.0,0.16973525888568533,0.14144604907140448,0.2404460706544811,0.09171604848090498,0.42531248948333666,0.5499999999999999,0.5499999999999999,0.4280883275387535,0.5525846702317291,0.23537959716498233,2.641995379364815,81.26562978641647,0.18059028841425884,100.49179904453827,73.04290377990185,174.47273137441184,236.89017868595963,90.0,39.3773596967398,0.411764705882353,2.882640427109345,-0.005265450579547082,8.676850377050057,0.4820472431694475,9.021830968431363,8.042510964025958,14.26849266445572,14.923809804142827,6.0,8.043477985791757,0.017825311942959002,2.8801254354601955,-0.0027504589303979365
windowed_nls_huber,ukf_filtered,mass_mismatch,3,0.040313817435672056,0.181419491067237,0.3824137554526961,0.036044801317964316,3.6044801317964317,6.258354044732464,549.1851942322847,105.1487239863405,0.07142857142857142,0.0,0.32142857142857145,1.0,0.3039019298748473,0.25325160822903936,0.45085830448424574,0.10190463736673117,0.7999870922613616,0.7999983865323385,0.5499999999999999,0.7999983865323385,0.5169340463458111,0.23914476859992448,3.365335363196507,123.08903591204081,0.2735311909156463,134.73682843747636,144.61747577995243,223.86118595210334,236.3419318429046,90.0,151.34430940895277,0.08912655971479501,3.6346534871862617,-0.030173355389830014,14.926337579349202,0.8292409766305112,17.077167758367448,12.552178371670465,26.998970537054532,26.99987131700388,6.0,26.99987131700388,0.017825311942959002,3.5967892409355766,0.00769089086085506
windowed_nls_cauchy,ukf_filtered,mass_mismatch,3,0.0402235931860109,0.18095473415065996,0.38168307603179114,0.03594469439753037,3.5944694397530372,6.202073862279952,548.908498479526,105.18468111640009,0.07142857142857142,0.0,0.32142857142857145,1.0,0.3038677392407989,0.25322311603399905,0.4508472329021112,0.10193960008997105,0.7999871021113695,0.7999983877634177,0.5499999999999999,0.7999983877634177,0.5169340463458111,0.23860626209841254,3.3558631776546246,123.09155087977693,0.2735367797328376,134.74700829499133,144.6232793086541,225.74791778171289,236.2717247335896,90.0,151.3440077075379,0.08912655971479501,3.6243598408765436,-0.029890401123506383,14.942131302605127,0.830118405700285,17.105229881513765,12.628805672253115,26.998968971017916,26.999871121160595,6.0,26.999871121160595,0.017825311942959002,3.586355993305885,0.008113446447152395
windowed_nls_current,ukf_filtered,parameter_mismatch_low_k,3,0.04056633955269902,0.13280697398090893,0.16666048059060545,0.017185754952734503,1.7185754952734502,1.2823273679547387,233.37446492040263,30.347701114315857,0.0,0.0,0.0588235294117647,1.0,0.04336580346262969,0.036138169552191415,0.07496182312521346,0.009679854107222496,0.1549138102364902,0.25,0.25,0.1599013228237678,0.847953216374269,0.4537069974448918,1.2648684978285585,173.09636457294403,0.38465858793987556,179.39605591522874,155.32460062612512,260.9662843809045,261.68473403199744,180.0,111.79683597992823,0.0,1.6326629060057858,0.08591258926766443,9.448948556600671,0.5249415864778151,10.336594267113092,11.345494444630097,13.623894534898277,13.628808918665788,6.0,13.622983550005024,0.0,1.6952067264929374,0.02336876878051286
windowed_nls_huber,ukf_filtered,parameter_mismatch_low_k,3,0.04270288447364929,0.14989168623122387,0.19554865711489133,0.020333041130483082,2.0333041130483083,5.634274698664676,338.34088774073996,43.39706120708818,0.0,0.0,0.0588235294117647,1.0,0.07105820570482811,0.059215171420690084,0.1332685715125826,0.017135886860172755,0.3120492370686023,0.6258431605717212,0.25,0.6258431605717212,0.7894736842105262,0.48763266482163087,1.5456714482266776,167.37009165458255,0.37193353701018345,176.15484174653935,154.00937704277226,254.2598184562944,254.8655107423168,180.0,4.2556244528349225,0.03508771929824561,1.93587186171165,0.09743225133665834,10.68454408335928,0.5935857824088487,11.600277525491142,11.255859838444133,15.91187151930948,15.955935759654741,6.0,6.123188562436152,0.029239766081871343,2.009335701931368,0.02396841111694048
windowed_nls_cauchy,ukf_filtered,parameter_mismatch_low_k,3,0.04268492067780238,0.1497532872865556,0.19531630793018004,0.020310815228563373,2.0310815228563373,5.614755382217029,339.31360026472953,43.38802679962753,0.0,0.0,0.0588235294117647,1.0,0.07103862373376728,0.059198853111472716,0.13326270175805088,0.017135159072982686,0.3120842699548463,0.6258791776606809,0.25,0.6258791776606809,0.7894736842105262,0.4867486529152865,1.5443328699410508,167.61902751558594,0.37248672781241327,176.47829163343349,154.00876069753747,254.9073913335902,255.3800775001722,180.0,4.264795106619772,0.03508771929824561,1.9337210506150582,0.09736047224127908,10.558815964091291,0.5866008868939607,11.528533856652215,11.194768304282485,15.911588964825448,15.955794482412722,6.0,6.098552305614287,0.029239766081871343,2.0073541820402365,0.023727340816100728
windowed_nls_current,ukf_filtered,parameter_mismatch_high_k,3,0.01728426301955429,0.08418289424254104,0.1694087602471375,0.017182799205606294,1.7182799205606294,1.1220311989839582,168.0792110343882,45.53990199194762,0.0,0.0,0.0,1.0,0.010803809463118144,0.009003174552598454,0.045865070354189914,0.0011439769560070978,0.032991613765281924,0.25,0.25,0.005546594021436091,0.9669966996699669,0.057606722845265114,1.6606731977153644,16.371284405922715,0.03638063201316159,37.40101755858472,4.491399123915869,114.1639389991642,150.0,150.0,3.7088561467089107,0.900990099009901,1.7377015408769667,-0.019421620316337318,7.084749096693135,0.39359717203850747,7.097454449295063,6.99866465256148,7.726347679100759,7.801441959060948,6.0,6.705765271925355,0.0,1.7065248661804884,0.011755054380140795
